mean_ctrl,mean_patient,genename,uniprot
7056.88,4914.2,OXSM,Q9NWU1
7144.4,10758.3,TIMM13,Q9Y5L4
8075.3,5465.65,PNKD,Q8N490-2
9409.86,17753.1,VPS13D,Q5THJ4;Q5THJ4-2
9894.56,10294.9,GFER,P55789
10605.7,12730.9,GATC,O43716
11796.6,61034.9,COQ3,Q9NZJ6
11917.9,14272.2,MGME1,Q9BQP7
12074.9,14185.6,TOMM7,Q9P0U1
12344.7,11192.2,D2HGDH,Q8N465
12715.8,8452.32,ACSS3,Q9H6R3
12777.4,9560.46,DMPK,Q09013;Q09013-1;Q09013-10;Q09013-11;Q09013-12;Q09013-15;Q09013-16;Q09013-2;Q09013-5;Q09013-6;Q09013-7;Q09013-8
12779.8,10500.4,COX18,Q8N8Q8
13013.1,10609.3,COQ5,Q5HYK3
13782.2,15234.7,NOA1,Q8NC60
14413.2,17731.5,PDSS2,Q86YH6
14435.4,11348.8,MTARC2,Q969Z3
14461.2,19872,UNG,P13051;P13051-2
14675.2,10910.1,COQ9,O75208
14745.2,24089.9,SUGCT,Q9HAC7;Q9HAC7-2;Q9HAC7-3;Q9HAC7-4
14810.4,13710,PARL,Q9H300
15721.6,23042.9,PTCD1,O75127
15925.6,14316.5,SLC25A19,Q9HC21;Q9HC21-2
16308.3,13073.2,FAM210B,Q96KR6
16428,10769.4,CPT1C,Q8TCG5;Q8TCG5-2;Q8TCG5-3
16730.4,29661.9,BDH1,Q02338
16885.8,45261.8,USP30,Q70CQ3
16998.3,15274,POLRMT,O00411
17165.6,19180,AGPAT5,Q9NUQ2
17281.5,13822.1,MCAT,Q8IVS2
17476.9,26452.8,CDK5RAP1,Q96SZ6;Q96SZ6-3;Q96SZ6-5;Q96SZ6-6
17601.7,33647,DMAC2,Q9NW81;Q9NW81-4
17814.7,12495.9,SDR39U1,Q9NRG7
17825,11991.4,SIRT5,Q9NXA8
17853.3,9925.8,THNSL1,Q8IYQ7
18030,23998,SLC25A15,Q9Y619
18472,20356.2,MTHFS,P49914;P49914-2
18568.8,15784.5,CA5B,Q9Y2D0
18571.6,26731.8,OXR1,Q8N573;Q8N573-8
18846.1,21119.4,POLG,P54098
