"genename","uniprot","mean_patient","mean_ctrl","mito","complex"
"SRGAP2","O75044",15414.0869166667,17304.633788,"nonmito",""
"SRI","P30626;P30626-2;P30626-3",59763.10547,62031.888282,"nonmito",""
"SRM","P19623",458349.083366667,392261.58752,"nonmito",""
"SRP14","P37108",111689.8854,97825.96249,"nonmito",""
"SRP19","P09132",76968.27344,43895.586718,"nonmito",""
"SRP54","P61011",80222.1406266667,77322.917188,"nonmito",""
"SRP68","Q9UHB9",99150.49481,99460.681246,"nonmito",""
"SRP72","O76094",78141.3958333333,75828.931252,"nonmito",""
"SRP9","P49458",58865.3138,64108.028126,"nonmito",""
"SRPK1","Q96SB4;Q96SB4-3;Q96SB4-4",14570.9241533333,18442.997658,"nonmito",""
"SRPK2","P78362;P78362-2",37245.21224,40773.682032,"nonmito",""
"SRPRA","P08240",68008.8828133333,75735.366408,"nonmito",""
"SRPRB","Q9Y5M8",137184.520866667,137886.48908,"nonmito",""
"SRR","Q9GZT4",63655.94922,53323.164064,"nonmito",""
"SRRM1","Q8IYB3;Q8IYB3-2",15533.5787766667,17018.440038,"nonmito",""
"SRRM2","Q9UQ35",37604.5781266667,56036.49297,"nonmito",""
"SRRT","Q9BXP5;Q9BXP5-2;Q9BXP5-3;Q9BXP5-4;Q9BXP5-5",71317.44271,51027.312502,"nonmito",""
"SRSF1","Q07955",634133.583333333,677191.575,"nonmito",""
"SRSF10","O75494;O75494-2;O75494-3;O75494-4;O75494-5;O75494-6",73333.23177,87041.607814,"nonmito",""
"SRSF11","Q05519;Q05519-2",757304.125,618519.7875,"nonmito",""
"SRSF2","Q01130;Q01130-2",526270.25,495522.45002,"nonmito",""
"SRSF3","P84103;P84103-2",703307.145833333,621225.0625,"nonmito",""
"SRSF4","Q08170",65567.1158866667,42384.239844,"nonmito",""
"SRSF5","Q13243",38161.47396,36362.101172,"nonmito",""
"SRSF6","Q13247;Q13247-3",111748.6068,102114.295298,"nonmito",""
"SRSF7","Q16629;Q16629-2;Q16629-3;Q16629-4",557577.854166667,430968.28752,"nonmito",""
"SRSF9","Q13242",94676.9974,119272.348436,"nonmito",""
"SSB","P05455",109515.416666667,91934.428128,"nonmito",""
"SSBP1","Q04837",164986.625033333,169835.20314,"mito",""
"SSH1","Q8WYL5",15559.864257,13692.756838,"nonmito",""
"SSH3","Q8TE77;Q8TE77-2",19264.72526,16335.881448,"nonmito",""
"SSR1","P43307",873617.458333333,791701.9625,"nonmito",""
"SSR4","P51571",487248.885433333,518463.85002,"nonmito",""
"SSRP1","Q08945",128526.447933333,104430.573438,"nonmito",""
"SSU72","Q9NP77",29010.43164,30113.45508,"nonmito",""
"ST13","P50502",272656.7396,277593.54692,"nonmito",""
"STAG2","Q8N3U4;Q8N3U4-2",19603.88737,13760.078906,"nonmito",""
"STAM","Q92783;Q92783-2",25686.9518233333,39713.859374,"nonmito",""
"STAM2","O75886",39589.53646,37669.691796,"nonmito",""
"STAMBP","O95630",30797.2604166667,23046.427732,"nonmito",""
"STARD10","Q9Y365",16826.1809933333,11952.9875,"nonmito",""
"STARD3NL","O95772;O95772-2",44187.2760433333,42066.870312,"nonmito",""
"STAT1","P42224",299555.447966667,282438.29376,"nonmito",""
"STAT2","P52630;P52630-4",65256.69922,64800.74844,"nonmito",""
"STAT3","P40763;P40763-3",44046.61068,39768.801172,"nonmito",""
"STAT5B","P51692",24035.2174466667,18000.954104,"nonmito",""
"STAT6","P42226",40676.2916666667,43773.16875,"nonmito",""
"STAU1","O95793;O95793-2",46251.53516,55525.28047,"nonmito",""
"STAU2","Q9NUL3;Q9NUL3-2;Q9NUL3-3;Q9NUL3-6;Q9NUL3-7;Q9NUL3-8",17705.01302,23199.603906,"nonmito",""
"STBD1","O95210",13522.58138,30921.157814,"nonmito",""
"STEAP3","Q658P3;Q658P3-2;Q658P3-3",35714.63672,56231.298828,"nonmito",""
"STIM1","Q13586",35886.1783833333,42441.006252,"nonmito",""
"STING1","Q86WV6",150131.8646,141353.22656,"nonmito",""
"STIP1","P31948",177152.885433333,195892.94064,"nonmito",""
"STK10","O94804",32551.89974,48097.815624,"nonmito",""
"STK11IP","Q8N1F8",18774.09896,19083.223438,"nonmito",""
"STK17A","Q9UEE5",24664.0852866667,19031.510156,"nonmito",""
"STK24","Q9Y6E0-2",57202.90625,52685.679688,"nonmito",""
"STK25","O00506",30171.8346333333,30152.8625,"nonmito",""
"STK3","Q13188;Q13188-2",16460.92285,13271.70713,"nonmito",""
"STK38","Q15208",48015.0195333333,44552.217188,"nonmito",""
"STK38L","Q9Y2H1",51102.44531,34552.996094,"nonmito",""
"STK39","Q9UEW8;Q9UEW8-2",40662.9010433333,42373.31406,"nonmito",""
"STK4","Q13043",33485.3828133333,29135.012892,"nonmito",""
