"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"UBR2","Q8IWV8",40706.2,40553.8,"nonmito",""
"UBR3","Q6ZT12;Q6ZT12-4",42721.84,40739.8666666667,"nonmito",""
"UBR4","Q5T4S7;Q5T4S7-2;Q5T4S7-3",82994.84,80630.5666666667,"nonmito",""
"UBR5","O95071;O95071-2",46983.08,51422.4,"nonmito",""
"UBR7","Q8N806",57934.36,45037.1,"nonmito",""
"UBTD2","Q8WUN7",55784.02,54693.3666666667,"nonmito",""
"UBTF","P17480-2",54474.24,58445.5333333333,"nonmito",""
"UBXN1","Q04323",98770.36,138591,"nonmito",""
"UBXN4","Q92575",128921.6,118723,"nonmito",""
"UBXN6","Q9BZV1",90476.34,98597.9,"nonmito",""
"UBXN7","O94888",77443.62,85473.7333333333,"nonmito",""
"UCHL1","P09936",289121.6,284190.333333333,"nonmito",""
"UCHL3","P15374",84391.02,66193.0333333333,"nonmito",""
"UCHL5","Q9Y5K5;Q9Y5K5-2;Q9Y5K5-3;Q9Y5K5-4",101112.38,108214,"nonmito",""
"UCK2","Q9BZX2",71091.22,60054.9333333333,"nonmito",""
"UCKL1","Q9NWZ5",28391.82,27319.9,"nonmito",""
"UEVLD","Q8IX04",42841.38,43907.1333333333,"nonmito",""
"UFC1","Q9Y3C8",167930.6,182946.333333333,"nonmito",""
"UFD1","Q92890;Q92890-1",132461.8,126639.666666667,"nonmito",""
"UFL1","O94874",101029,91107.8666666667,"nonmito",""
"UFM1","P61960",78664.34,74462.7,"nonmito",""
"UFSP2","Q9NUQ7",66222.56,49837.7,"nonmito",""
"UGDH","O60701",323750.4,247359,"nonmito",""
"UGGT1","Q9NYU2;Q9NYU2-2",142476.2,136336.333333333,"nonmito",""
"UGGT2","Q9NYU1",65649.14,63596.9,"nonmito",""
"UGP2","Q16851",200842.8,162992,"nonmito",""
"UHRF1","Q96T88;Q96T88-2",52514.02,45635.7666666667,"nonmito",""
"UHRF2","Q96PU4",33452.2,30795.4,"nonmito",""
"UMPS","P11172",81856.72,88745.2333333333,"nonmito",""
"UNC119","Q13432",88071.62,90461.3,"nonmito",""
"UNC119B","A6NIH7",75167.6,82752.6333333333,"nonmito",""
"UNC13B","O14795;O14795-2",78664.4,67198.55,"nonmito",""
"UNC45A","Q9H3U1-2",91568.02,92860.6333333333,"nonmito",""
"UPF1","Q92900;Q92900-2",129334,137864.333333333,"nonmito",""
"UPF2","Q9HAU5",86807.06,87969.7666666667,"nonmito",""
"UPF3B","Q9BZI7;Q9BZI7-2",22884.06,23443.3666666667,"nonmito",""
"UPP1","Q16831",45804.96,27801.3333333333,"nonmito",""
"UQCC1","Q9NVA1;Q9NVA1-2",81236.9,92078.7333333333,"mito",""
"UQCC2","Q9BRT2",42282.72,43481.5,"mito",""
"UQCR10","Q9UDW1",158136.6,186244,"mito","CIII"
"UQCRB","P14927",141497,149392,"mito","CIII"
"UQCRC1","P31930",159970.4,183461.666666667,"mito","CIII"
"UQCRC2","P22695",209167.2,239511.333333333,"mito","CIII"
"UQCRFS1","P47985",184133.2,218731,"mito","CIII"
"UQCRQ","O14949",169915.8,205806.666666667,"mito","CIII"
"URB2","Q14146",72691.26,86992.3666666667,"nonmito",""
"URGCP","Q8TCY9;Q8TCY9-2",35612.3,41998.9,"nonmito",""
"URI1","O94763;O94763-3",35783.825,35461.3666666667,"nonmito",""
"UROD","P06132",159385.4,188570.666666667,"nonmito",""
"UROS","P10746",54980.98,73238.6666666667,"nonmito",""
"USE1","Q9NZ43",90474.92,92519.6666666667,"nonmito",""
"USO1","O60763",139053.6,122947.666666667,"nonmito",""
"USP10","Q14694;Q14694-2;Q14694-3",80701.36,89070.5666666667,"nonmito",""
"USP11","P51784",56160.58,35822.7333333333,"nonmito",""
"USP13","Q92995",74170.16,72034.8333333333,"nonmito",""
"USP14","P54578;P54578-2",182235.2,199292.333333333,"nonmito",""
"USP15","Q9Y4E8;Q9Y4E8-2;Q9Y4E8-3",57105.34,55999.6333333333,"nonmito",""
"USP16","Q9Y5T5;Q9Y5T5-2",39332.54,45750.2666666667,"nonmito",""
"USP19","O94966;O94966-3;O94966-4;O94966-5;O94966-6;O94966-7",55164.58,52405.7333333333,"nonmito",""
"USP24","Q9UPU5",48771.6,57081.6333333333,"nonmito",""
"USP25","Q9UHP3;Q9UHP3-1;Q9UHP3-3",71858.4,48694.5666666667,"nonmito",""
"USP32","Q8NFA0",37321.72,43195.5666666667,"nonmito",""
"USP39","Q53GS9",101258.42,103951,"nonmito",""
"USP4","Q13107;Q13107-2",57419.22,57646.4666666667,"nonmito",""
"USP47","Q96K76",51340.3,51726.9333333333,"nonmito",""
"USP48","Q86UV5;Q86UV5-8",40351.12,45671.9666666667,"nonmito",""
"USP5","P45974;P45974-2",235294.8,244296.666666667,"nonmito",""
"USP7","Q93009;Q93009-3",74937.56,75034.1333333333,"nonmito",""
