"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"MT-ND1","P03886",149115.933333333,258565.333333333,"P03886","mito","CI"
"MT-ND2","P03891",166465,170060.333333333,"P03891","mito","CI"
"MT-ND4","P03905",101235.866666667,119190.666666667,"P03905","mito","CI"
"MTA1","Q13330",165852.333333333,164811.666666667,"Q13330","nonmito",""
"MTA2","O94776",338800.333333333,428413.666666667,"O94776","nonmito",""
"MTA3","Q9BTC8;Q9BTC8-2",72796.5,123336,"Q9BTC8","nonmito",""
"MTAP","Q13126",440522.333333333,397487.333333333,"Q13126","nonmito",""
"MTARC1","Q5VT66;Q5VT66-2",133686.666666667,175028,"Q5VT66","mito",""
"MTARC2","Q969Z3",135941.333333333,95197.1,"Q969Z3","mito",""
"MTCH1","Q9NZJ7;Q9NZJ7-2",268107.666666667,210916,"Q9NZJ7","mito",""
"MTCH2","Q9Y6C9",422436.666666667,295551,"Q9Y6C9","mito",""
"MTDH","Q86UE4",251958.666666667,216198.666666667,"Q86UE4","nonmito",""
"MTERF3","Q96E29;Q96E29-2;Q96E29-3",61855.4,87143.8333333333,"Q96E29","mito",""
"MTF2","Q9Y483",75260.8,66934.7333333333,"Q9Y483","nonmito",""
"MTFP1","Q9UDX5",184920.666666667,156727,"Q9UDX5","mito",""
"MTFR1","Q15390",32052.2333333333,33171.1666666667,"Q15390","mito",""
"MTFR2","Q6P444",53007.25,49020.2,"Q6P444","mito",""
"MTG1","Q9BT17",34231.95,67537.4666666667,"Q9BT17","mito",""
"MTHFD1","P11586",683061.333333333,674710.333333333,"P11586","nonmito",""
"MTHFD1L","Q6UB35",307014.666666667,273706.666666667,"Q6UB35","mito",""
"MTHFD2","P13995",325965.333333333,205525.333333333,"P13995","mito",""
"MTHFR","P42898;P42898-2",46465.5,46279.7666666667,"P42898","nonmito",""
"MTHFS","P49914",220847.333333333,233669.333333333,"P49914","mito",""
"MTHFSD","Q2M296;Q2M296-2",73419.2,79058.3333333333,"Q2M296","nonmito",""
"MTIF2","P46199",124956.333333333,110319,"P46199","mito",""
"MTIF3","Q9H2K0",172257,133941.666666667,"Q9H2K0","mito",""
"MTM1","Q13496",144934.333333333,114712,"Q13496","nonmito",""
"MTMR1","Q13613",166243.333333333,157761.333333333,"Q13613","nonmito",""
"MTMR12","Q9C0I1;Q9C0I1-2;Q9C0I1-3",56830.2666666667,56851.5,"Q9C0I1","nonmito",""
"MTMR14","Q8NCE2;Q8NCE2-2",138595.333333333,141398,"Q8NCE2","nonmito",""
"MTMR2","Q13614;Q13614-2",197688.333333333,211219.666666667,"Q13614","nonmito",""
"MTMR3","Q13615;Q13615-2;Q13615-3",55951.4,98835.5666666667,"Q13615","nonmito",""
"MTMR6","Q9Y217",67584.5333333333,95105.2,"Q9Y217","nonmito",""
"MTOR","P42345",132849.666666667,116684.333333333,"P42345","nonmito",""
"MTPAP","Q9NVV4",83589.6333333333,84224.7333333333,"Q9NVV4","mito",""
"MTPN","P58546",466343.333333333,349195,"P58546","nonmito",""
"MTR","Q99707",55574.8,143548.666666667,"Q99707","nonmito",""
"MTREX","P42285",222685.333333333,261801.333333333,"P42285","nonmito",""
"MTX1","Q13505;Q13505-3",293417.666666667,309081,"Q13505","mito",""
