"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1249023.4,394733,"nonmito",""
"AAAS","Q9NRG9",69600.86,64607.9333333333,"nonmito",""
"AACS","Q86V21",72955.88,87397.6,"nonmito",""
"AAGAB","Q6PD74",134129,124028.333333333,"nonmito",""
"AAK1","Q2M2I8",118087.6,101935.2,"nonmito",""
"AAMDC","Q9H7C9",81736.3,88384.7666666667,"nonmito",""
"AAMP","Q13685",49990.52,42895.2333333333,"nonmito",""
"AAR2","Q9Y312",56659.38,52171.1,"nonmito",""
"AARS1","P49588",206652,188602.666666667,"nonmito",""
"AARS2","Q5JTZ9",49006.98,35370.2,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",102133.7,112818.666666667,"nonmito",""
"AASDHPPT","Q9NRN7",119609,122866.333333333,"nonmito",""
"AASS","Q9UDR5",56783.525,74020.1333333333,"mito",""
"AATF","Q9NY61",41320.84,38101.2,"nonmito",""
"ABAT","P80404",35027.2875,59148.8,"mito",""
"ABCB10","Q9NRK6",66615.64,74725.7,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",87201.4,75478,"mito",""
"ABCB7","O75027;O75027-2",61407.7,67917.7,"mito",""
"ABCC1","P33527;P33527-9",72300.46,91612.1,"nonmito",""
"ABCC4","O15439;O15439-2",73778.72,63784.8,"nonmito",""
"ABCD1","P33897",76669.82,86788.9333333333,"mito",""
"ABCD3","P28288",72613,71895.2333333333,"mito",""
"ABCE1","P61221",185422.6,188138.333333333,"nonmito",""
"ABCF1","Q8NE71",108265,102064.566666667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97372.74,85931.2,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",106646.2,110247,"nonmito",""
"ABHD10","Q9NUJ1",89209.36,67275.2,"mito",""
"ABHD11","Q8NFV4",66774.15,64146.9,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",93797.34,99933.5666666667,"nonmito",""
"ABHD14B","Q96IU4",220861.6,283980.666666667,"nonmito",""
"ABHD16A","O95870",80101.7,69788.4,"nonmito",""
