"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"DHX16","O60231",238648,300573.333333333,"O60231","nonmito",""
"DHX29","Q7Z478",122660.333333333,132383.333333333,"Q7Z478","nonmito",""
"DHX30","Q7L2E3",213701.333333333,355922.666666667,"Q7L2E3","mito",""
"DHX33","Q9H6R0",158487.666666667,178011.666666667,"Q9H6R0","nonmito",""
"DHX34","Q14147",101195.6,123667,"Q14147","nonmito",""
"DHX36","Q9H2U1",142654.666666667,182505,"Q9H2U1","nonmito",""
"DHX37","Q8IY37",127651,168171.666666667,"Q8IY37","nonmito",""
"DHX38","Q92620",97452.5,143088,"Q92620","nonmito",""
"DHX40","Q8IX18;Q8IX18-3",143764.333333333,154185,"Q8IX18","nonmito",""
"DHX57","Q6P158",139755.333333333,163503.333333333,"Q6P158","nonmito",""
"DHX8","Q14562",103850,114142.666666667,"Q14562","nonmito",""
"DHX9","Q08211",969023.333333333,1038486.66666667,"Q08211","nonmito",""
"DIABLO","Q9NR28;Q9NR28-2",189833.666666667,153715,"Q9NR28","mito",""
"DIAPH1","O60610",162518,147001,"O60610","nonmito",""
"DIAPH2","O60879-2",160511.333333333,148598,"O60879","nonmito",""
"DIAPH3","Q9NSV4",94397.5666666667,111602.666666667,"Q9NSV4","nonmito",""
"DICER1","Q9UPY3",59115.2,90087.3333333333,"Q9UPY3","nonmito",""
"DIDO1","Q9BTC0",100287.433333333,122208.333333333,"Q9BTC0","nonmito",""
"DIMT1","Q9UNQ2",234813.666666667,241162.333333333,"Q9UNQ2","nonmito",""
"DIP2A","Q14689;Q14689-6",164311.333333333,138026.666666667,"Q14689","nonmito",""
"DIP2B","Q9P265",80168.6,74082.9,"Q9P265","nonmito",""
"DIPK2A","Q8NDZ4",65776.8333333333,83302.8,"Q8NDZ4","nonmito",""
"DIS3","Q9Y2L1",208450.333333333,227826.666666667,"Q9Y2L1","nonmito",""
"DIS3L","Q8TF46",76051.7666666667,111514,"Q8TF46","nonmito",""
"DIS3L2","Q8IYB7",88616.3,94048.1666666667,"Q8IYB7","nonmito",""
"DKC1","O60832",280079.333333333,278530.666666667,"O60832","nonmito",""
"DLAT","P10515",387032.666666667,372410.666666667,"P10515","mito",""
"DLD","P09622",272602,443575,"P09622","mito",""
"DLG1","Q12959;Q12959-3;Q12959-5;Q12959-6;Q12959-7",127736.666666667,129313,"Q12959","nonmito",""
"DLG3","Q92796;Q92796-2;Q92796-3",116773.333333333,145365.666666667,"Q92796","nonmito",""
"DLGAP4","Q9Y2H0;Q9Y2H0-1;Q9Y2H0-3",53213.5666666667,49440.9,"Q9Y2H0","nonmito",""
"DLGAP5","Q15398",165788.333333333,156589,"Q15398","nonmito",""
"DLST","P36957",619836.333333333,528667,"P36957","mito",""
"DMAP1","Q9NPF5",132266,148625.666666667,"Q9NPF5","nonmito",""
"DMD","P11532;P11532-11;P11532-2;P11532-3;P11532-4",111973.666666667,91392.1333333333,"P11532","nonmito",""
"DMXL1","Q9Y485",182935.333333333,149789,"Q9Y485","nonmito",""
"DMXL2","Q8TDJ6;Q8TDJ6-3",94565.7,95408.5333333333,"Q8TDJ6","nonmito",""
"DNAAF5","Q86Y56",187296.333333333,262397.666666667,"Q86Y56","nonmito",""
"DNAJA1","P31689",324211.333333333,621253.333333333,"P31689","nonmito",""
"DNAJA2","O60884",226573.666666667,348537.666666667,"O60884","nonmito",""
"DNAJA3","Q96EY1",178921.333333333,224356.333333333,"Q96EY1","mito",""
"DNAJB1","P25685",504066.666666667,392268.666666667,"P25685","nonmito",""
"DNAJB11","Q9UBS4",263669.333333333,255207.666666667,"Q9UBS4","nonmito",""
"DNAJB12","Q9NXW2",41251.1,52212.1666666667,"Q9NXW2","nonmito",""
"DNAJB4","Q9UDY4",301559.333333333,186686,"Q9UDY4","nonmito",""
"DNAJB6","O75190",213019.333333333,249742.666666667,"O75190","nonmito",""
"DNAJC1","Q96KC8",62207.4333333333,78939.9666666667,"Q96KC8","nonmito",""
"DNAJC10","Q8IXB1",211173.333333333,181493.333333333,"Q8IXB1","nonmito",""
"DNAJC11","Q9NVH1;Q9NVH1-3",236901.666666667,178147.333333333,"Q9NVH1","mito",""
