"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"A2M","P01023",71996.7333333333,110025.666666667,"P01023","nonmito",""
"AAAS","Q9NRG9",241817.666666667,223238,"Q9NRG9","nonmito",""
"AACS","Q86V21",127726.333333333,124862.333333333,"Q86V21","nonmito",""
"AAGAB","Q6PD74",299932.666666667,347113,"Q6PD74","nonmito",""
"AAK1","Q2M2I8",112085.666666667,105879.333333333,"Q2M2I8","nonmito",""
"AAMDC","Q9H7C9",105210.933333333,125084,"Q9H7C9","nonmito",""
"AAMP","Q13685",136174.333333333,163736.333333333,"Q13685","nonmito",""
"AAR2","Q9Y312",153724.666666667,180508.333333333,"Q9Y312","nonmito",""
"AARS1","P49588",399257.333333333,367512.666666667,"P49588","nonmito",""
"AARS2","Q5JTZ9",171104.333333333,172224.666666667,"Q5JTZ9","mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",187116.333333333,185448,"0","nonmito",""
"AASDHPPT","Q9NRN7",395066.666666667,389811.333333333,"Q9NRN7","nonmito",""
"AASS","Q9UDR5",136133.333333333,124620.333333333,"Q9UDR5","mito",""
"AATF","Q9NY61",167363,153153,"Q9NY61","nonmito",""
"ABAT","P80404",97930.3666666667,73578.1,"P80404","mito",""
"ABCB10","Q9NRK6",278642.333333333,208970.333333333,"Q9NRK6","mito",""
"ABCB7","O75027;O75027-2",142963.666666667,134421.666666667,"O75027","mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",81104.3666666667,55298.6,"Q9NUT2","mito",""
"ABCC1","P33527;P33527-9",83223.8333333333,69414.6333333333,"P33527","nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",125486.333333333,116698.333333333,"Q5T3U5","nonmito",""
"ABCC4","O15439",99004.9,89722.8666666667,"O15439","nonmito",""
"ABCD3","P28288",255323,249691.333333333,"P28288","mito",""
"ABCE1","P61221",498537.666666667,516828,"P61221","nonmito",""
"ABCF1","Q8NE71",246973,260199,"Q8NE71","nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",317234.666666667,387926.666666667,"Q9UG63","nonmito",""
"ABCF3","Q9NUQ8",138162,162736.333333333,"Q9NUQ8","nonmito",""
"ABHD10","Q9NUJ1",161653,155054,"Q9NUJ1","mito",""
"ABHD11","Q8NFV4",181492.666666667,148433,"Q8NFV4","mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",127068,110804.666666667,"Q8N2K0","nonmito",""
"ABHD14B","Q96IU4",314158,220727,"Q96IU4","nonmito",""
"ABHD16A","O95870",110680.333333333,95261.7,"O95870","nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",63962.5333333333,69915.8666666667,"Q5VST6","nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",234842.666666667,228084,"Q8IZP0","nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",225786.666666667,202715.333333333,"Q9NYB9","nonmito",""
"ABL1","P00519;P00519-2",53615.4,42167.0666666667,"P00519","nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",72369.5666666667,64343.4666666667,"P42684","nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",103687.7,89843.1666666667,"O14639","nonmito",""
"ABRACL","Q9P1F3",650834.333333333,708677.666666667,"Q9P1F3","nonmito",""
"ABRAXAS1","Q6UWZ7",59073.6333333333,55951,"Q6UWZ7","nonmito",""
"ABRAXAS2","Q15018",135426.333333333,141595.666666667,"Q15018","nonmito",""
