"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"DTNA","Q9Y4J8;Q9Y4J8-13;Q9Y4J8-14;Q9Y4J8-15;Q9Y4J8-2",140819,105658.666666667,"Q9Y4J8","nonmito",""
"DTNBP1","Q96EV8",120064.333333333,123189,"Q96EV8","nonmito",""
"DTYMK","P23919",325967.666666667,277178.333333333,"P23919","mito",""
"DUS1L","Q6P1R4",122019.666666667,113658.666666667,"Q6P1R4","nonmito",""
"DUS2","Q9NX74",74652.6666666667,56366.1,"Q9NX74","mito",""
"DUS3L","Q96G46",175448.666666667,174975,"Q96G46","nonmito",""
"DUSP12","Q9UNI6",113911.266666667,123771.333333333,"Q9UNI6","nonmito",""
"DUSP3","P51452",453957.666666667,368308.666666667,"P51452","nonmito",""
"DUSP9","Q99956",137461.666666667,135000,"Q99956","nonmito",""
"DUT","P33316",1424693.33333333,1269616.66666667,"P33316","mito",""
"DVL2","O14641",143748.666666667,169216.333333333,"O14641","nonmito",""
"DYM","Q7RTS9",50276.1,47519.8666666667,"Q7RTS9","nonmito",""
"DYNC1H1","Q14204",362002.333333333,380584.333333333,"Q14204","nonmito",""
"DYNC1I2","Q13409;Q13409-2;Q13409-3;Q13409-5;Q13409-6;Q13409-7",320410.333333333,293631.333333333,"Q13409","nonmito",""
"DYNC1LI1","Q9Y6G9",326757.333333333,344320.666666667,"Q9Y6G9","nonmito",""
"DYNC1LI2","O43237",139477,148675.333333333,"O43237","nonmito",""
"DYNC2H1","Q8NCM8;Q8NCM8-2",83764.3,99368.4666666667,"Q8NCM8","nonmito",""
"DYNC2LI1","Q8TCX1;Q8TCX1-3",56435.8666666667,53418.4,"Q8TCX1","nonmito",""
"DYNLL1","P63167",397389.333333333,475614.333333333,"P63167","nonmito",""
"DYNLRB1","Q9NP97",527876,463422.666666667,"Q9NP97","nonmito",""
"DYNLT1","P63172",196629,211635.333333333,"P63172","nonmito",""
"DYNLT3","P51808",124938,92618.8,"P51808","nonmito",""
