"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"ORMDL1","Q9P0S3",33833.88,31636.7666666667,"nonmito",""
"ORMDL3","Q8N138;Q8N138-4",33831.7,26524.6333333333,"nonmito",""
"OS9","Q13438",49016.08,47100.7666666667,"nonmito",""
"OSBP","P22059",102384.56,98435.5666666667,"nonmito",""
"OSBPL11","Q9BXB4",64836.36,92553.5666666667,"nonmito",""
"OSBPL1A","Q9BXW6",68557.68,44556.7333333333,"mito",""
"OSBPL2","Q9H1P3;Q9H1P3-2",33602.64,31617,"nonmito",""
"OSBPL3","Q9H4L5",75526.88,71598.5,"nonmito",""
"OSBPL5","Q9H0X9",77965.24,86253.6,"nonmito",""
"OSBPL8","Q9BZF1;Q9BZF1-2;Q9BZF1-3",74663.54,86794.5333333333,"nonmito",""
"OSBPL9","Q96SU4;Q96SU4-2;Q96SU4-7",47241,56466.1666666667,"nonmito",""
"OSGEP","Q9NPF4",38209.26,32269.3666666667,"nonmito",""
"OSTC","Q9NRP0;Q9NRP0-2",196991.4,163265,"nonmito",""
"OSTF1","Q92882",107989.8,102930.1,"nonmito",""
"OTUB1","Q96FW1",166897,197238.666666667,"nonmito",""
"OTUD4","Q01804",23782.1,36614.5333333333,"nonmito",""
"OTUD6B","Q8N6M0;Q8N6M0-2",32355.96,42384.7,"nonmito",""
"OTUD7B","Q6GQQ9",53787,47510.3,"nonmito",""
"OTULIN","Q96BN8",49116.8,56564.0666666667,"nonmito",""
"OVCA2","Q8WZ82",142784.4,104432.733333333,"nonmito",""
"OXA1L","Q15070;Q15070-2",39065.76,59973.8333333333,"mito",""
"OXCT1","P55809",98059.74,127884.333333333,"mito",""
"OXR1","Q8N573-5",27734.34,22994.0666666667,"mito",""
"OXSR1","O95747",136943.4,124763.666666667,"nonmito",""
"P3H1","Q32P28",221197.6,241833.333333333,"nonmito",""
"P3H3","Q8IVL6",204723.2,221136.666666667,"nonmito",""
"P3H4","Q92791",183839,188037.333333333,"nonmito",""
"P4HA1","P13674",330915,331426,"nonmito",""
"P4HA2","O15460-2",410214.4,447765.666666667,"nonmito",""
"P4HB","P07237",695938,721729,"nonmito",""
"P4HTM","Q9NXG6;Q9NXG6-3",104998.82,76529.5666666667,"nonmito",""
"PA2G4","Q9UQ80",200265,228882.333333333,"nonmito",""
"PAAF1","Q9BRP4",76646.96,98178.7333333333,"nonmito",""
"PABPC1","P11940",292919,344896,"nonmito",""
"PABPC4","Q13310-2;Q13310-3",108134.64,117724.666666667,"nonmito",""
"PABPN1","Q86U42;Q86U42-2",120838.48,136831,"nonmito",""
"PACS1","Q6VY07",80474.6,73166.0666666667,"nonmito",""
"PACSIN2","Q9UNF0;Q9UNF0-2",106342.18,121267,"nonmito",""
"PAF1","Q8N7H5;Q8N7H5-3",42077.76,32304.0333333333,"nonmito",""
"PAFAH1B1","P43034",168035,146368,"nonmito",""
"PAFAH1B2","P68402",121315.4,131090.666666667,"nonmito",""
"PAFAH1B3","Q15102",119461.7,125116.333333333,"nonmito",""
"PAICS","P22234",235242,277068.666666667,"mito",""
"PAIP1","Q9H074",194385.6,193109.666666667,"nonmito",""
"PAK1","Q13153",93707.62,84744,"nonmito",""
"PAK2","Q13177",136967.8,129415,"nonmito",""
"PAK4","O96013;O96013-2;O96013-4",53190.12,60272.5333333333,"nonmito",""
"PALLD","Q8WX93;Q8WX93-3",228040.2,164339.666666667,"nonmito",""
"PAM","P19021",77928.6,35175.3,"nonmito",""
"PANK2","Q9BZ23;Q9BZ23-3;Q9BZ23-4",26715.14,31425.6333333333,"mito",""
"PANK4","Q9NVE7",48033.3,57902.0666666667,"nonmito",""
"PANX1","Q96RD7;Q96RD7-2",42654.82,41054.9,"nonmito",""
"PAPOLA","P51003",67974,70225.3,"nonmito",""
"PAPSS1","O43252",102242.14,117200.666666667,"nonmito",""
"PAPSS2","O95340;O95340-2",181478.8,166026.333333333,"nonmito",""
"PARD3","Q8TEW0;Q8TEW0-10;Q8TEW0-11;Q8TEW0-2;Q8TEW0-3;Q8TEW0-4;Q8TEW0-5;Q8TEW0-6;Q8TEW0-7;Q8TEW0-8;Q8TEW0-9",18544.22,26254.3333333333,"nonmito",""
"PARG","Q86W56;Q86W56-2;Q86W56-3",44974.92,61200.0333333333,"nonmito",""
"PARK7","Q99497",245998.2,231210.666666667,"mito",""
"PARP1","P09874",70608.3,92089.8666666667,"nonmito",""
"PARP14","Q460N5",78718.3,97939.4333333333,"nonmito",""
"PARP4","Q9UKK3",76674.42,65629,"nonmito",""
"PARVA","Q9NVD7",119698.7,122417.333333333,"nonmito",""
"PARVB","Q9HBI1;Q9HBI1-2;Q9HBI1-3",98729.04,95283.6,"nonmito",""
"PATL1","Q86TB9;Q86TB9-4",21293.34,30168.8333333333,"nonmito",""
"PAWR","Q96IZ0",48752.94,37143.4,"nonmito",""
"PAXBP1","Q9Y5B6",207128.476,9689.56666666667,"nonmito",""
"PAXX","Q9BUH6",59237.6,63968.6666666667,"nonmito",""
"PBDC1","Q9BVG4",108782.46,108629.666666667,"nonmito",""
"PBLD","P30039",49492.36,41042.5666666667,"nonmito",""
"PBRM1","Q86U86;Q86U86-2;Q86U86-4;Q86U86-5;Q86U86-7;Q86U86-8;Q86U86-9",43431.38,53644.7,"nonmito",""
"PBXIP1","Q96AQ6;Q96AQ6-2",124172.8,48376.4,"nonmito",""
"PC","P11498",57239.08,57735,"mito",""
"PCBP1","Q15365",309804,306111.666666667,"nonmito",""
"PCBP2","Q15366;Q15366-2",604828.4,652676.666666667,"nonmito",""
"PCCB","P05166;P05166-2",35827.58,36157.1333333333,"mito",""
"PCID2","Q5JVF3;Q5JVF3-2;Q5JVF3-4",50218.46,56222.3333333333,"nonmito",""
"PCK2","Q16822",223388,282454,"mito",""
"PCMT1","P22061;P22061-2",333456.4,337434.333333333,"nonmito",""
"PCNA","P12004",235698,350524.333333333,"nonmito",""
"PCOLCE","Q15113",184413.8,181348.333333333,"nonmito",""
"PCYOX1","Q9UHG3",223480.2,154675.666666667,"nonmito",""
"PCYT1A","P49585",135918.4,144711.666666667,"nonmito",""
"PCYT2","Q99447;Q99447-3",108597.14,82619.3666666667,"nonmito",""
"PDAP1","Q13442",378418,305706.333333333,"nonmito",""
"PDCD10","Q9BUL8",157199.4,164499.666666667,"nonmito",""
"PDCD11","Q14690",53411.38,69253.6666666667,"nonmito",""
"PDCD4","Q53EL6;Q53EL6-2",112617.76,84128.8,"nonmito",""
"PDCD6","O75340",202726.6,232876.333333333,"nonmito",""
"PDCD6IP","Q8WUM4",216625,205676.333333333,"nonmito",""
