"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"FSTL1","Q12841",88305.08,97104.8666666667,"nonmito",""
"FTH1","P02794",131450.6,311675.333333333,"mito",""
"FTL","P02792",125140.52,226594,"nonmito",""
"FTO","Q9C0B1",65475.98,49630.4333333333,"nonmito",""
"FTSJ1","Q9UET6",50367.22,50683.8,"nonmito",""
"FTSJ3","Q8IY81",52012.48,69686.7333333333,"nonmito",""
"FUBP1","Q96AE4-2",197676.8,147253.666666667,"nonmito",""
"FUBP3","Q96I24",136868,152476.666666667,"nonmito",""
"FUCA1","P04066",145980.02,80780.6,"nonmito",""
"FUNDC2","Q9BWH2",51937.92,65551.2666666667,"mito",""
"FUS","P35637;P35637-2",239503.4,260480.333333333,"nonmito",""
"FUT11","Q495W5-2",50524.7,55415.9,"nonmito",""
"FUT8","Q9BYC5",47887.96,72280.0333333333,"nonmito",""
"FXR1","P51114",103301.32,79934.5666666667,"nonmito",""
"FXR2","P51116",74524.16,74191.6,"nonmito",""
"FYCO1","Q9BQS8;Q9BQS8-4",70002.42,74022.2666666667,"nonmito",""
"FYTTD1","Q96QD9",79308.24,78642.6333333333,"nonmito",""
"FZD7","O75084",90858.14,98279.3333333333,"nonmito",""
"G3BP1","Q13283",252129,241438.666666667,"nonmito",""
"G3BP2","Q9UN86",115977.2,139274,"nonmito",""
"G6PD","P11413;P11413-2;P11413-3",406775.6,512536.666666667,"nonmito",""
"GAA","P10253",137888.58,174468.333333333,"nonmito",""
"GABARAPL2","P60520",80095.88,287389.666666667,"nonmito",""
"GABPA","Q06546",49064.78,43163.2333333333,"nonmito",""
"GADD45GIP1","Q8TAE8",80381.46,79338.3666666667,"mito","Ribo"
"GAK","O14976",76751.64,83660.4,"nonmito",""
"GALE","Q14376",141100,149647.333333333,"nonmito",""
"GALK1","P51570;P51570-2",134080,115189,"nonmito",""
"GALM","Q96C23",119621.8,99500.8,"nonmito",""
"GALNS","P34059",97433.42,95833.7,"nonmito",""
"GALNT1","Q10472",43731.44,67330.9333333333,"nonmito",""
"GALNT10","Q86SR1",42361.84,53411.0666666667,"nonmito",""
"GALNT2","Q10471",141214.2,215631.666666667,"nonmito",""
"GALNT5","Q7Z7M9",67800.1,47617.4,"nonmito",""
"GALNT7","Q86SF2",59909.52,79538.5666666667,"nonmito",""
"GAMT","Q14353",119960.8,150560,"nonmito",""
"GAN","Q9H2C0",46870.24,49147.7666666667,"nonmito",""
"GANAB","Q14697",469989.2,561994.333333333,"nonmito",""
"GANAB","Q14697-2",110982.9,120213.333333333,"nonmito",""
"GAPDH","P04406",717302,993771.333333333,"nonmito",""
"GAPVD1","Q14C86;Q14C86-2;Q14C86-4;Q14C86-5;Q14C86-6",81063.78,85134.1333333333,"nonmito",""
"GAR1","Q9NY12;Q9NY12-2",148319.2,158241.666666667,"nonmito",""
"GARS1","P41250",273209.2,228346.333333333,"mito",""
"GART","P22102",136661.6,121713.666666667,"nonmito",""
"GAS6","Q14393;Q14393-1;Q14393-3",78144.46,120972.333333333,"nonmito",""
