"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"FIGNL1","Q6PIW4;Q6PIW4-2",112642.666666667,114063.666666667,"Q6PIW4","nonmito",""
"FIP1L1","Q6UN15",343290.666666667,299877.333333333,"Q6UN15","nonmito",""
"FIS1","Q9Y3D6",121359.6,72168.7666666667,"Q9Y3D6","mito",""
"FITM2","Q8N6M3",77526.7,73581,"Q8N6M3","nonmito",""
"FKBP10","Q96AY3",144197,188767.666666667,"Q96AY3","mito",""
"FKBP14","Q9NWM8",311249.333333333,304536,"Q9NWM8","nonmito",""
"FKBP15","Q5T1M5",90207.0333333333,81729.8333333333,"Q5T1M5","nonmito",""
"FKBP1A","P62942",934810.666666667,1450153.33333333,"P62942","nonmito",""
"FKBP2","P26885",152837,146602,"P26885","nonmito",""
"FKBP3","Q00688",457309,471461.666666667,"Q00688","nonmito",""
"FKBP4","Q02790",470233.333333333,440855.333333333,"Q02790","nonmito",""
"FKBP5","Q13451",163753,142887.666666667,"Q13451","nonmito",""
"FKBP7","Q9Y680;Q9Y680-3",113385.666666667,94574.7,"Q9Y680","nonmito",""
"FKBP8","Q14318",248821.333333333,249492.666666667,"Q14318","mito",""
"FKBP9","O95302;O95302-3",144451.666666667,134052.666666667,"O95302","nonmito",""
"FKBPL","Q9UIM3",116371,99707,"Q9UIM3","nonmito",""
"FLAD1","Q8NFF5;Q8NFF5-2",196711.666666667,186585.666666667,"Q8NFF5","mito",""
"FLII","Q13045",216996.333333333,230441.666666667,"Q13045","nonmito",""
"FLNA","P21333;P21333-2",459185.333333333,619042.666666667,"P21333","nonmito",""
"FLNB","O75369;O75369-2;O75369-9",349149.333333333,365484.666666667,"O75369","nonmito",""
"FLNC","Q14315;Q14315-2",106822.666666667,101357.366666667,"Q14315","nonmito",""
"FLOT1","O75955",193599.666666667,207397.666666667,"O75955","nonmito",""
"FLOT2","Q14254",201759.666666667,208251.333333333,"Q14254","nonmito",""
"FLYWCH1","Q4VC44;Q4VC44-3",126955,107122.666666667,"Q4VC44","nonmito",""
"FLYWCH2","Q96CP2",158137.666666667,150089,"Q96CP2","nonmito",""
"FMC1","Q96HJ9-2",294932,343218,"0","mito",""
"FMR1","Q06787-2",182800,211567,"Q06787","nonmito",""
"FN3KRP","Q9HA64",120527.333333333,126956.666666667,"Q9HA64","nonmito",""
"FNBP1","Q96RU3-2;Q96RU3-5",61458.4333333333,64210.3,"Q96RU3","nonmito",""
"FNBP1L","Q5T0N5;Q5T0N5-2;Q5T0N5-3;Q5T0N5-4;Q5T0N5-5",74542.5,62514.4333333333,"Q5T0N5","nonmito",""
"FNBP4","Q8N3X1;Q8N3X1-2",91083.5,93347.3,"Q8N3X1","nonmito",""
"FNDC3A","Q9Y2H6;Q9Y2H6-2",95286.7,120532.666666667,"Q9Y2H6","nonmito",""
"FNDC3B","Q53EP0",64925.0666666667,55336.6666666667,"Q53EP0","nonmito",""
"FNTA","P49354",311693.666666667,243188.333333333,"P49354","nonmito",""
"FNTB","P49356",153483.666666667,126188,"0","nonmito",""
"FOCAD","Q5VW36",89028.4,89360.7333333333,"Q5VW36","nonmito",""
"FOXC1","Q12948",268464.333333333,190473,"Q12948","nonmito",""
"FOXJ3","Q9UPW0;Q9UPW0-2",42181.4,33020.7,"Q9UPW0","nonmito",""
"FOXK1","P85037",182576,170885.666666667,"P85037","nonmito",""
"FOXK2","Q01167",128930.666666667,123781.666666667,"Q01167","nonmito",""
"FOXO3","O43524",121544.333333333,125044,"O43524","nonmito",""
"FOXP1","Q9H334;Q9H334-4",87203.7666666667,64617.7666666667,"Q9H334","nonmito",""
"FOXP4","Q8IVH2;Q8IVH2-2;Q8IVH2-3",62301.5666666667,58776.8666666667,"Q8IVH2","nonmito",""
"FOXRED1","Q96CU9;Q96CU9-3",107069.833333333,121831.666666667,"Q96CU9","mito",""
"FOXRED2","Q8IWF2",123725,124143,"Q8IWF2","nonmito",""
"FPGS","Q05932;Q05932-2;Q05932-3;Q05932-4",81891.4,58760.1666666667,"Q05932","mito",""
"FPGT","O14772",74052.2,75898.6333333333,"O14772","nonmito",""
