"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"SSU72","Q9NP77",65899.08,66723.7,"nonmito",""
"ST13","P50502",343759.8,374736,"nonmito",""
"STAG1","Q8WVM7;Q8WVM7-2",43679.06,63834.5666666667,"nonmito",""
"STAG2","Q8N3U4;Q8N3U4-2",41170.74,54837.7,"nonmito",""
"STAM","Q92783;Q92783-2",90990.42,71854.0333333333,"nonmito",""
"STAM2","O75886",83668.1,70769.9333333333,"nonmito",""
"STAMBP","O95630",77073.9,74420.7666666667,"nonmito",""
"STARD13","Q9Y3M8;Q9Y3M8-2;Q9Y3M8-4",37690.9666666667,54263.9,"nonmito",""
"STARD3NL","O95772;O95772-2",61068.74,96155.1333333333,"nonmito",""
"STARD5","Q9NSY2",37432.78,40815.9333333333,"nonmito",""
"STAT1","P42224",242737.4,205988.333333333,"nonmito",""
"STAT2","P52630;P52630-4",96186.08,119019,"nonmito",""
"STAT3","P40763;P40763-3",88808.06,100899.3,"nonmito",""
"STAT5B","P51692",50281.46,44575.1333333333,"nonmito",""
"STAT6","P42226",90241.24,94520.4,"nonmito",""
"STAU1","O95793;O95793-2",103086.2,101191.666666667,"nonmito",""
"STAU2","Q9NUL3;Q9NUL3-2;Q9NUL3-3;Q9NUL3-6;Q9NUL3-7;Q9NUL3-8",81722.725,75877.3666666667,"nonmito",""
"STBD1","O95210",98068.98,82639.4666666667,"nonmito",""
"STC2","O76061",31903.525,46333.2333333333,"nonmito",""
"STEAP1","Q9UHE8",17251.78,22367.6333333333,"nonmito",""
"STEAP3","Q658P3;Q658P3-3",80916.5,104277.666666667,"nonmito",""
"STIM1","Q13586",66259.52,61568.2333333333,"nonmito",""
"STING1","Q86WV6",157232.8,132579.666666667,"nonmito",""
"STIP1","P31948",195688,182759.333333333,"nonmito",""
"STK10","O94804",53730.26,41100.1333333333,"nonmito",""
"STK11IP","Q8N1F8",42063.42,40835.6333333333,"nonmito",""
"STK17A","Q9UEE5",74889.26,73903.5,"nonmito",""
"STK24","Q9Y6E0-2",87938.04,96128.9666666667,"nonmito",""
"STK25","O00506",36621.74,37339.1333333333,"nonmito",""
"STK3","Q13188;Q13188-2",42163.52,39121.8333333333,"nonmito",""
"STK38","Q15208",68383.92,65905.0666666667,"nonmito",""
"STK38L","Q9Y2H1",69072.42,85294.3666666667,"nonmito",""
