"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"WDR3","Q9UNX4",227370,221241,"Q9UNX4","nonmito",""
"WDR33","Q9C0J8",171468,181229.666666667,"Q9C0J8","nonmito",""
"WDR35","Q9P2L0;Q9P2L0-2",94812.0333333333,97625.6,"Q9P2L0","nonmito",""
"WDR36","Q8NI36",260597.666666667,270092.666666667,"Q8NI36","nonmito",""
"WDR37","Q9Y2I8;Q9Y2I8-2",116822.5,135485.666666667,"Q9Y2I8","nonmito",""
"WDR4","P57081",158523,173287.666666667,"P57081","nonmito",""
"WDR41","Q9HAD4",188162.333333333,168154.666666667,"Q9HAD4","nonmito",""
"WDR43","Q15061",185139.333333333,184246,"Q15061","nonmito",""
"WDR44","Q5JSH3",140011.666666667,144597.666666667,"Q5JSH3","nonmito",""
"WDR45","Q9Y484;Q9Y484-3",74527.6666666667,69106.8,"Q9Y484","nonmito",""
"WDR45B","Q5MNZ6",69325.6,82925.7333333333,"Q5MNZ6","nonmito",""
"WDR46","O15213",176861.666666667,168192.333333333,"O15213","nonmito",""
"WDR47","O94967;O94967-2;O94967-3;O94967-4",65531.1333333333,64056.9666666667,"O94967","nonmito",""
"WDR48","Q8TAF3",203386,208095.666666667,"Q8TAF3","nonmito",""
"WDR5","P61964",269727.666666667,254980,"P61964","nonmito",""
"WDR54","Q9H977;Q9H977-4",126438.666666667,155323.333333333,"Q9H977","nonmito",""
"WDR55","Q9H6Y2",110106,98147.3333333333,"Q9H6Y2","nonmito",""
"WDR59","Q6PJI9",52458.0333333333,46730.5666666667,"Q6PJI9","nonmito",""
"WDR6","Q9NNW5",206146,283069,"Q9NNW5","nonmito",""
"WDR61","Q9GZS3",434922.333333333,448687.333333333,"Q9GZS3","nonmito",""
"WDR62","O43379;O43379-4",76309.2,73593.1333333333,"O43379","nonmito",""
"WDR7","Q9Y4E6;Q9Y4E6-2",80689.1333333333,60130.2,"Q9Y4E6","nonmito",""
"WDR70","Q9NW82",127651.333333333,147829.666666667,"Q9NW82","nonmito",""
"WDR73","Q6P4I2",173012.666666667,242539,"Q6P4I2","nonmito",""
"WDR74","Q6RFH5",200941.333333333,190936.666666667,"Q6RFH5","nonmito",""
"WDR75","Q8IWA0",203878.333333333,200715.333333333,"Q8IWA0","nonmito",""
"WDR76","Q9H967",159080.666666667,119511.666666667,"Q9H967","nonmito",""
"WDR77","Q9BQA1",896334,1034250,"Q9BQA1","nonmito",""
"WDR81","Q562E7",44854.4666666667,62949.2333333333,"Q562E7","nonmito",""
"WDR82","Q6UXN9",204751,204095.333333333,"Q6UXN9","nonmito",""
"WDR89","Q96FK6",142447,115476.333333333,"Q96FK6","nonmito",""
"WDR91","A4D1P6",77702.8666666667,90517.5666666667,"A4D1P6","nonmito",""
"WDR92","Q96MX6",118299,123919,"Q96MX6","nonmito",""
"WDSUB1","Q8N9V3",91379.9,89699,"Q8N9V3","nonmito",""
"WDTC1","Q8N5D0;Q8N5D0-4",74744.4666666667,55443.1666666667,"Q8N5D0","nonmito",""
"WEE1","P30291;P30291-2",61329.5666666667,91450.4666666667,"P30291","nonmito",""
"WFS1","O76024",128300.333333333,122108.333333333,"O76024","nonmito",""
"WIPF1","O43516;O43516-3",39436.6,39287.6,"O43516","nonmito",""
"WIPF2","Q8TF74",74581.2666666667,86351.6,"Q8TF74","nonmito",""
"WIPI2","Q9Y4P8;Q9Y4P8-4",130073,161551.666666667,"Q9Y4P8","nonmito",""
"WIZ","O95785-3",126394.333333333,117474,"O95785","nonmito",""
"WLS","Q5T9L3;Q5T9L3-2",109397.666666667,91159,"Q5T9L3","nonmito",""
"WNK1","Q9H4A3;Q9H4A3-2;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7",123711.333333333,128493.333333333,"Q9H4A3","nonmito",""
"WNK2","Q9Y3S1;Q9Y3S1-2;Q9Y3S1-4",40933.0666666667,46479.0666666667,"Q9Y3S1","nonmito",""
"WRAP53","Q9BUR4",149090.333333333,181213,"Q9BUR4","nonmito",""
"WRAP73","Q9P2S5",125132.333333333,122951.333333333,"Q9P2S5","nonmito",""
"WRN","Q14191",31491.9,81192.7,"Q14191","nonmito",""
"WRNIP1","Q96S55;Q96S55-2",132787.666666667,129284.666666667,"Q96S55","nonmito",""
"WTAP","Q15007",84298.6333333333,87863.2,"Q15007","nonmito",""
"XAB2","Q9HCS7",151602.333333333,155898.333333333,"Q9HCS7","nonmito",""
"XIAP","P98170",100645.333333333,111022.666666667,"P98170","nonmito",""
"XPA","P23025",36793.3333333333,64041.6333333333,"P23025","nonmito",""
"XPC","Q01831;Q01831-2",140069.333333333,117149.333333333,"Q01831","nonmito",""
"XPNPEP1","Q9NQW7-3",251450.666666667,247277,"Q9NQW7","nonmito",""
"XPNPEP3","Q9NQH7;Q9NQH7-4",190896.333333333,164131,"Q9NQH7","mito",""
"XPO1","O14980",431762.333333333,445150.666666667,"O14980","nonmito",""
"XPO4","Q9C0E2",95739.2,98013.1,"Q9C0E2","nonmito",""
"XPO5","Q9HAV4",295669.666666667,311127,"Q9HAV4","nonmito",""
"XPO6","Q96QU8;Q96QU8-2",195073,230851.333333333,"Q96QU8","nonmito",""
"XPO7","Q9UIA9",221735,208097.333333333,"Q9UIA9","nonmito",""
"XPOT","O43592",420549.333333333,346881.333333333,"O43592","nonmito",""
"XPR1","Q9UBH6",51455.7333333333,59635.5666666667,"Q9UBH6","nonmito",""
"XRCC1","P18887",111430.666666667,119187.333333333,"P18887","nonmito",""
"XRCC3","O43542",56185.5666666667,53692.4666666667,"O43542","nonmito",""
"XRCC4","Q13426",91197.1333333333,88427.6333333333,"Q13426","nonmito",""
"XRCC5","P13010",711427.666666667,731772.333333333,"P13010","nonmito",""
"XRCC6","P12956",950728.333333333,1003882.33333333,"P12956","nonmito",""
"XRN1","Q8IZH2;Q8IZH2-2",125672.333333333,135554,"Q8IZH2","nonmito",""
"XRN2","Q9H0D6",309424,330725,"Q9H0D6","nonmito",""
"XXYLT1","Q8NBI6",98582.1666666667,67908.8,"Q8NBI6","nonmito",""
"XYLB","O75191",102334,116657.333333333,"O75191","nonmito",""
"YAF2","Q8IY57;Q8IY57-5",127507.666666667,159054.666666667,"Q8IY57","nonmito",""
"YAP1","P46937;P46937-2;P46937-3;P46937-5;P46937-6;P46937-7;P46937-8;P46937-9",109786.333333333,105616.333333333,"P46937","nonmito",""
"YARS1","P54577",703846.666666667,574514.333333333,"P54577","nonmito",""
"YARS2","Q9Y2Z4",182064.666666667,180752,"Q9Y2Z4","mito",""
"YBEY","P58557",179327.333333333,193405.333333333,"P58557","mito",""
"YBX1","P67809",496216.333333333,465081.666666667,"P67809","nonmito",""
"YBX3","P16989",613649.333333333,677777,"P16989","nonmito",""
"YEATS2","Q9ULM3",71747.3,80023.4666666667,"Q9ULM3","nonmito",""
"YEATS4","O95619",162869.666666667,154024.333333333,"O95619","nonmito",""
"YES1","P07947",180644.333333333,196112,"P07947","nonmito",""
"YIF1A","O95070",218916,197660.666666667,"O95070","nonmito",""
"YIF1B","Q5BJH7;Q5BJH7-3",282904.333333333,287447.666666667,"Q5BJH7","nonmito",""
"YIPF3","Q9GZM5",196555.333333333,184609,"Q9GZM5","nonmito",""
"YIPF4","Q9BSR8",143603,155284,"Q9BSR8","nonmito",""
"YIPF5","Q969M3;Q969M3-3",158253,144413,"Q969M3","nonmito",""
"YJU2","Q9BW85",128706,144566.666666667,"Q9BW85","nonmito",""
"YKT6","O15498",253503.666666667,283535.333333333,"O15498","nonmito",""
"YLPM1","P49750",140837.333333333,137549,"P49750","nonmito",""
"YME1L1","Q96TA2;Q96TA2-2;Q96TA2-3",179049,192322.333333333,"Q96TA2","mito",""
"YOD1","Q5VVQ6",187465.333333333,213679.666666667,"Q5VVQ6","nonmito",""
"YPEL5","P62699",186913,167945.333333333,"P62699","nonmito",""
"YRDC","Q86U90",227463.666666667,259313.333333333,"Q86U90","mito",""
"YTHDC1","Q96MU7;Q96MU7-2",101533.1,94012.3,"Q96MU7","nonmito",""
"YTHDC2","Q9H6S0",162922,175846,"Q9H6S0","nonmito",""
"YTHDF1","Q9BYJ9",92811.0666666667,106641.666666667,"Q9BYJ9","nonmito",""
"YTHDF2","Q9Y5A9",306601,418325.666666667,"Q9Y5A9","nonmito",""
"YTHDF3","Q7Z739",177322.333333333,261820,"Q7Z739","nonmito",""
"YWHAB","P31946-2",1576613.33333333,1511056.66666667,"P31946","nonmito",""
"YWHAE","P62258",1035692.33333333,1099140,"P62258","nonmito",""
