"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"ACTR2","P61160",418278.8,524287.333333333,"nonmito",""
"ACTR3","P61158",577758.6,685117,"nonmito",""
"ACVR1","Q04771",93010.28,153047.333333333,"nonmito",""
"ACY1","Q03154",76748.42,91001.6666666667,"nonmito",""
"ACYP1","P07311",67416,63327.9,"nonmito",""
"ACYP2","P14621",57786.56,92785.0333333333,"nonmito",""
"ADA","P00813",53245.92,57920.9666666667,"nonmito",""
"ADAM10","O14672",80223.92,88093.2333333333,"nonmito",""
"ADAM15","Q13444;Q13444-10;Q13444-11;Q13444-12;Q13444-13;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9",40719.08,38181.3666666667,"nonmito",""
"ADAM17","P78536",40786.2,39903.1333333333,"nonmito",""
"ADAM9","Q13443",54850.54,56420.2333333333,"nonmito",""
"ADAMTS1","Q9UHI8",25581.0233333333,56224.5333333333,"nonmito",""
"ADAR","P55265;P55265-4",79795.26,71531.4333333333,"nonmito",""
"ADCY9","O60503",68659.26,61292.8,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",150379.8,100256.833333333,"nonmito",""
"ADD3","Q9UEY8-2",133419,102848.6,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",85658.08,125488.333333333,"nonmito",""
"ADH5","P11766",268607.4,266461.333333333,"nonmito",""
"ADI1","Q9BV57",109593.36,76725.2666666667,"nonmito",""
"ADK","P55263",97799.4,117929.333333333,"nonmito",""
"ADO","Q96SZ5",97177.9,96904.1,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",60182.32,67903.2333333333,"nonmito",""
"ADPRS","Q9NX46",75910.14,84759.5,"nonmito",""
"ADRM1","Q16186",158812.2,160713.666666667,"nonmito",""
"ADSL","P30566",96643.66,100638.733333333,"nonmito",""
"ADSS2","P30520",171624.6,151490,"nonmito",""
"AFAP1","Q8N556;Q8N556-2",75159.2,61240.9,"nonmito",""
"AFDN","P55196-1;P55196-2;P55196-3",39242.36,40636.35,"nonmito",""
"AFG3L2","Q9Y4W6",59709.06,64620.4,"mito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",33161.38,45666.1333333333,"nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",91111.46,88156.5333333333,"nonmito",""
"AGFG2","O95081",39728.96,51260.6,"nonmito",""
"AGK","Q53H12",80301.34,86080.7333333333,"mito",""
"AGL","P35573",70652.56,82277.9,"nonmito",""
"AGO1","Q9UL18",45561.72,48739,"nonmito",""
"AGO2","Q9UKV8",60111.32,63857.6,"nonmito",""
"AGO3","Q9H9G7",69134.66,74331,"nonmito",""
"AGPAT3","Q9NRZ7",54666.38,54852.9666666667,"nonmito",""
"AGPAT4","Q9NRZ5",29683.425,24530.8333333333,"mito",""
"AGPS","O00116",117951.2,136143,"nonmito",""
"AGTRAP","Q6RW13",98843.66,109299.333333333,"nonmito",""
"AHCTF1","Q8WYP5;Q8WYP5-2;Q8WYP5-3",38711.52,35483.9,"nonmito",""
"AHCY","P23526",286067.6,354782,"nonmito",""
"AHCYL1","O43865",116392.6,119590,"mito",""
"AHNAK","Q09666",353225.4,161408.333333333,"nonmito",""
"AHNAK2","Q8IVF2-3",121839.96,97242.8666666667,"nonmito",""
"AHR","P35869",13044.98,18891.6,"nonmito",""
"AHSA1","O95433",159632.6,192296,"nonmito",""
"AIDA","Q96BJ3",89261.64,79859.3666666667,"nonmito",""
"AIFM1","O95831;O95831-3",121669,119178.333333333,"mito",""
"AIFM2","Q9BRQ8",64137.68,34562.2,"mito",""
"AIMP1","Q12904",107017.9,115001.333333333,"nonmito",""
"AIMP2","Q13155",157899,163555,"nonmito",""
"AIP","O00170",83252,96611.9,"nonmito",""
"AK1","P00568",187788.6,223004.333333333,"nonmito",""
"AK2","P54819;P54819-2",128003.8,97844.5,"mito",""
"AK3","Q9UIJ7",130421.6,108624.666666667,"mito",""
"AK4","P27144",49627.52,147435.666666667,"mito",""
"AK5","Q9Y6K8;Q9Y6K8-3",305830.4,248408.333333333,"nonmito",""
"AK6","Q9Y3D8",71250.34,108917.333333333,"nonmito",""
"AKAP11","Q9UKA4",41505.42,35430.9333333333,"nonmito",""
"AKAP12","Q02952;Q02952-2;Q02952-3",59541.38,46730.6666666667,"nonmito",""
"AKAP13","Q12802",47479.58,40199.7333333333,"nonmito",""
"AKAP17A","Q02040",128789.78,380003,"nonmito",""
"AKAP2","Q9Y2D5-6",132927.86,127996,"nonmito",""
"AKAP8","O43823",16612.2333333333,19116.0333333333,"nonmito",""
"AKAP8L","Q9ULX6",69880.32,67517.1666666667,"nonmito",""
"AKAP9","Q99996;Q99996-1;Q99996-3;Q99996-5;Q99996-6",37348.22,32828.2333333333,"nonmito",""
"AKR1A1","P14550",198802.2,251684.333333333,"nonmito",""
