"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"FDX1","P10109",287471.333333333,302950,"P10109","mito",""
"FDXR","P22570;P22570-7",191142,173587.333333333,"P22570","mito",""
"FECH","P22830;P22830-2",112300.666666667,93317.5333333333,"P22830","mito",""
"FEM1B","Q9UK73",77227.7666666667,91530.1333333333,"Q9UK73","nonmito",""
"FEN1","P39748",550975,627363,"P39748","nonmito",""
"FERMT2","Q96AC1;Q96AC1-3",215860,173811.666666667,"Q96AC1","nonmito",""
"FGFR1OP2","Q9NVK5",197028.166666667,75085.5,"Q9NVK5","nonmito",""
"FH","P07954;P07954-2",339053,377660,"P07954","mito",""
"FHL1","Q13642-1;Q13642-4;Q13642-5",398773.666666667,423972.666666667,"Q13642","nonmito",""
"FHL2","Q14192",112183.666666667,116539.333333333,"Q14192","nonmito",""
"FHL3","Q13643",129758,104118.7,"Q13643","nonmito",""
"FHOD1","Q9Y613",144454.666666667,126866,"Q9Y613","nonmito",""
"FIBP","O43427;O43427-2",85263.95,92408.4666666667,"O43427","nonmito",""
"FIGNL1","Q6PIW4;Q6PIW4-2",105819.933333333,114063.666666667,"Q6PIW4","nonmito",""
"FIP1L1","Q6UN15",308628.666666667,299877.333333333,"Q6UN15","nonmito",""
"FIS1","Q9Y3D6",138114.1,72168.7666666667,"Q9Y3D6","mito",""
"FITM2","Q8N6M3",20917.39,73581,"Q8N6M3","nonmito",""
"FKBP10","Q96AY3",206787.666666667,188767.666666667,"Q96AY3","mito",""
"FKBP14","Q9NWM8",330695,304536,"Q9NWM8","nonmito",""
"FKBP15","Q5T1M5",92156.2666666667,81729.8333333333,"Q5T1M5","nonmito",""
"FKBP1A","P62942",1367943.33333333,1450153.33333333,"P62942","nonmito",""
"FKBP2","P26885",163004.666666667,146602,"P26885","nonmito",""
"FKBP3","Q00688",477774,471461.666666667,"Q00688","nonmito",""
"FKBP4","Q02790",433536,440855.333333333,"Q02790","nonmito",""
"FKBP5","Q13451",140967,142887.666666667,"Q13451","nonmito",""
"FKBP7","Q9Y680;Q9Y680-3",109531.333333333,94574.7,"Q9Y680","nonmito",""
"FKBP8","Q14318",297710,249492.666666667,"Q14318","mito",""
"FKBP9","O95302;O95302-3",151156.333333333,134052.666666667,"O95302","nonmito",""
"FKBPL","Q9UIM3",129758.5,99707,"Q9UIM3","nonmito",""
"FKTN","O75072;O75072-2",190799.333333333,184020.333333333,"O75072","nonmito",""
"FLAD1","Q8NFF5;Q8NFF5-2",191810.333333333,186585.666666667,"Q8NFF5","mito",""
"FLII","Q13045",237918,230441.666666667,"Q13045","nonmito",""
"FLNA","P21333;P21333-2",653451.333333333,619042.666666667,"P21333","nonmito",""
"FLNB","O75369;O75369-2;O75369-9",382732,365484.666666667,"O75369","nonmito",""
"FLNC","Q14315;Q14315-2",212279.666666667,101357.366666667,"Q14315","nonmito",""
"FLOT1","O75955",228804.333333333,207397.666666667,"O75955","nonmito",""
"FLOT2","Q14254",238272.666666667,208251.333333333,"Q14254","nonmito",""
"FLYWCH1","Q4VC44;Q4VC44-3",117991.666666667,107122.666666667,"Q4VC44","nonmito",""
"FLYWCH2","Q96CP2",149812,150089,"Q96CP2","nonmito",""
"FMC1","Q96HJ9-2",281686.333333333,343218,"0","mito",""
"FMR1","Q06787-2",156688.666666667,211567,"Q06787","nonmito",""
"FN3KRP","Q9HA64",128557.333333333,126956.666666667,"Q9HA64","nonmito",""
"FNBP1","Q96RU3-2;Q96RU3-5",61524.8,64210.3,"Q96RU3","nonmito",""
"FNBP1L","Q5T0N5;Q5T0N5-2;Q5T0N5-3;Q5T0N5-4;Q5T0N5-5",83296.2,62514.4333333333,"Q5T0N5","nonmito",""
"FNBP4","Q8N3X1;Q8N3X1-2",87186.6,93347.3,"Q8N3X1","nonmito",""
"FNDC3A","Q9Y2H6;Q9Y2H6-2",115941.666666667,120532.666666667,"Q9Y2H6","nonmito",""
"FNDC3B","Q53EP0",82813.8,55336.6666666667,"Q53EP0","nonmito",""
"FNTA","P49354",253608,243188.333333333,"P49354","nonmito",""
"FNTB","P49356",138742.333333333,126188,"0","nonmito",""
"FOCAD","Q5VW36",94481.0333333333,89360.7333333333,"Q5VW36","nonmito",""
"FOXC1","Q12948",187591,190473,"Q12948","nonmito",""
"FOXJ3","Q9UPW0;Q9UPW0-2",50191.1666666667,33020.7,"Q9UPW0","nonmito",""
"FOXK1","P85037",172341.666666667,170885.666666667,"P85037","nonmito",""
"FOXK2","Q01167",126584.666666667,123781.666666667,"Q01167","nonmito",""
"FOXO3","O43524",121058.333333333,125044,"O43524","nonmito",""
"FOXP1","Q9H334;Q9H334-4",47532.4666666667,64617.7666666667,"Q9H334","nonmito",""
"FOXP4","Q8IVH2;Q8IVH2-2;Q8IVH2-3",49467.2,58776.8666666667,"Q8IVH2","nonmito",""
"FOXRED1","Q96CU9;Q96CU9-3",125101.666666667,121831.666666667,"Q96CU9","mito",""
"FOXRED2","Q8IWF2",87447.1666666667,124143,"Q8IWF2","nonmito",""
"FPGS","Q05932;Q05932-2;Q05932-3;Q05932-4",95050.9666666667,58760.1666666667,"Q05932","mito",""
