"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1249023.4,3227230,"nonmito",""
"AAAS","Q9NRG9",69600.86,70412,"nonmito",""
"AACS","Q86V21",72955.88,110158.666666667,"nonmito",""
"AAGAB","Q6PD74",134129,138037,"nonmito",""
"AAK1","Q2M2I8",118087.6,89635.0666666667,"nonmito",""
"AAMDC","Q9H7C9",81736.3,78538.0666666667,"nonmito",""
"AAMP","Q13685",49990.52,55258.8333333333,"nonmito",""
"AAR2","Q9Y312",56659.38,64852.5333333333,"nonmito",""
"AARS1","P49588",206652,137707,"nonmito",""
"AARS2","Q5JTZ9",49006.98,39514.7666666667,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",102133.7,119971,"nonmito",""
"AASDHPPT","Q9NRN7",119609,148356,"nonmito",""
"AASS","Q9UDR5",56783.525,65656.1,"mito",""
"AATF","Q9NY61",41320.84,31668.3,"nonmito",""
"ABAT","P80404",35027.2875,69258.5333333333,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",87201.4,131059.333333333,"mito",""
"ABCB7","O75027;O75027-2",61407.7,78853.1333333333,"mito",""
"ABCC1","P33527;P33527-9",72300.46,92675.2666666667,"nonmito",""
"ABCC4","O15439;O15439-2",73778.72,63973.3666666667,"nonmito",""
"ABCD1","P33897",76669.82,85375.6333333333,"mito",""
"ABCD3","P28288",72613,86538.7666666667,"mito",""
"ABCD4","O14678",61809.55,30116.9666666667,"nonmito",""
"ABCE1","P61221",185422.6,148491.333333333,"nonmito",""
"ABCF1","Q8NE71",108265,117730,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97372.74,83893.8666666667,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",106646.2,115815,"nonmito",""
"ABHD10","Q9NUJ1",89209.36,97194.0333333333,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",93797.34,112911,"nonmito",""
"ABHD14B","Q96IU4",220861.6,183021,"nonmito",""
"ABHD16A","O95870",80101.7,91640.3666666667,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",31308.6,64682.7333333333,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",86466.88,91254.4666666667,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",77844.6,67347.3666666667,"nonmito",""
"ABL1","P00519;P00519-2",29457.33,30376.93,"nonmito",""
"ABLIM3","O94929-2;O94929-3",70846.96,49705.6333333333,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",83617.8,95477.5333333333,"nonmito",""
"ABRACL","Q9P1F3",223533.6,237579,"nonmito",""
"ABRAXAS2","Q15018",72536.72,86256.0333333333,"nonmito",""
"ABT1","Q9ULW3",65291.475,75106.7,"nonmito",""
"ACAA1","P09110",101190.04,136316.666666667,"mito",""
"ACAA2","P42765",115173.12,110407.333333333,"mito",""
"ACACA","Q13085;Q13085-4",78784.74,87044.8666666667,"mito",""
"ACAD11","Q709F0",135807.6,224026,"mito",""
"ACAD8","Q9UKU7",37436.8,35330.4666666667,"mito",""
"ACAD9","Q9H845",71178.4,79750.1,"mito",""
"ACADM","P11310;P11310-2",129016,159971,"mito",""
"ACADSB","P45954",42571.06,38925,"mito",""
"ACADVL","P49748;P49748-3",220045.2,167315.333333333,"mito",""
"ACAP2","Q15057",62330.44,66465.0666666667,"nonmito",""
"ACAT1","P24752",222039,188733,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",178254,528147.333333333,"nonmito",""
"ACBD3","Q9H3P7",164259,169566.666666667,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",53796.96,68069.9,"nonmito",""
"ACIN1","Q9UKV3",64991.64,67488.9,"nonmito",""
"ACLY","P53396",342206.6,469732,"mito",""
"ACO1","P21399",153660,169488.333333333,"nonmito",""
"ACO2","Q99798",132799,110823,"mito",""
"ACOT1","Q86TX2",104863.6,169120,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",97732.68,177228.333333333,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",246991.6,356487.333333333,"mito",""
"ACOT8","O14734",120372.86,193387.666666667,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",151186.8,183889,"mito",""
"ACOX1","Q15067;Q15067-2",84571.16,124713.333333333,"nonmito",""
"ACOX2","Q99424",61571.125,61649.4333333333,"nonmito",""
"ACOX3","O15254",54032.52,53577.0333333333,"nonmito",""
"ACP1","P24666",243011,329830,"nonmito",""
"ACP2","P11117",120124.08,227936.666666667,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",27590.24,56028,"mito",""
"ACSF3","Q4G176",35631.98,35643.8333333333,"mito",""
"ACSL1","P33121",69049.74,63305.5333333333,"mito",""
"ACSL3","O95573",161879.2,197481.333333333,"nonmito",""
"ACSL4","O60488;O60488-2",98765.66,108613.333333333,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",89513.54,132895,"nonmito",""
"ACTA2","P62736",1419932,1667770,"nonmito",""
"ACTB","P60709",1374232,1564580,"nonmito",""
"ACTBL2","Q562R1",2233977.4,2508995,"nonmito",""
"ACTL6A","O96019",109134.4,100030.933333333,"nonmito",""
