"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"GDI1","P31150",404304.333333333,405647.666666667,"P31150","nonmito",""
"GDI2","P50395",651002,711055.333333333,"P50395","nonmito",""
"GDPD1","Q8N9F7",110298.9,97869.6333333333,"Q8N9F7","nonmito",""
"GDPGP1","Q6ZNW5",111382.333333333,96965.4333333333,"Q6ZNW5","nonmito",""
"GEMIN2","O14893;O14893-2",165952.333333333,146530.333333333,"O14893","nonmito",""
"GEMIN4","P57678",194283.666666667,212686.666666667,"P57678","nonmito",""
"GEMIN5","Q8TEQ6",236264.333333333,235758,"Q8TEQ6","nonmito",""
"GEMIN6","Q8WXD5",267388.666666667,261396.333333333,"Q8WXD5","nonmito",""
"GEMIN8","Q9NWZ8",106930.7,124276.333333333,"Q9NWZ8","nonmito",""
"GET1","O00258",162930.333333333,146305,"O00258","nonmito",""
"GET3","O43681",405305.666666667,373242.333333333,"O43681","nonmito",""
"GET4","Q7L5D6",243657.333333333,310108.333333333,"Q7L5D6","nonmito",""
"GFER","P55789",248428.333333333,246349.333333333,"P55789","mito",""
"GFM1","Q96RP9",220500,221971,"Q96RP9","mito",""
"GFM2","Q969S9;Q969S9-3",107923,99118.2,"Q969S9","mito",""
"GFPT1","Q06210;Q06210-2",243346.333333333,263527,"Q06210","nonmito",""
"GFPT2","O94808",158821.666666667,156784,"O94808","nonmito",""
"GGA1","Q9UJY5;Q9UJY5-3;Q9UJY5-4;Q9UJY5-6",117593.666666667,108240.666666667,"Q9UJY5","nonmito",""
"GGA2","Q9UJY4",109756.666666667,101869,"Q9UJY4","nonmito",""
"GGA3","Q9NZ52",122532,105892.333333333,"Q9NZ52","nonmito",""
"GGCT","O75223",426435.666666667,423042.333333333,"O75223","nonmito",""
"GGCX","P38435",186738.666666667,174549,"P38435","nonmito",""
"GGH","Q92820",235868,207396.666666667,"Q92820","nonmito",""
"GGPS1","O95749",130405.333333333,127576.666666667,"O95749","nonmito",""
"GGT7","Q9UJ14",107247.333333333,94087.6333333333,"Q9UJ14","nonmito",""
"GHDC","Q8N2G8;Q8N2G8-3",106486.833333333,96533.3333333333,"Q8N2G8","nonmito",""
"GHITM","Q9H3K2",322314.666666667,312988.666666667,"Q9H3K2","mito",""
"GID8","Q9NWU2",163282.333333333,240369,"Q9NWU2","nonmito",""
"GIGYF2","Q6Y7W6;Q6Y7W6-4;Q6Y7W6-5",180441.666666667,201332,"Q6Y7W6","nonmito",""
"GINS1","Q14691",233114.333333333,234634,"Q14691","nonmito",""
"GINS2","Q9Y248",357954.666666667,398716,"Q9Y248","nonmito",""
"GINS3","Q9BRX5",233988,241800,"Q9BRX5","nonmito",""
"GINS4","Q9BRT9",318494,316688.666666667,"Q9BRT9","nonmito",""
"GIPC1","O14908",178735.333333333,184515.666666667,"O14908","nonmito",""
"GIT1","Q9Y2X7;Q9Y2X7-3",93261.2666666667,100516.266666667,"Q9Y2X7","nonmito",""
"GIT2","Q14161",55684.8,55985.5666666667,"Q14161","nonmito",""
