"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"ACYP2","P14621",50930.28,90436.1666666667,"nonmito",""
"ADA","P00813",48683.56,79125.6666666667,"nonmito",""
"ADAM10","O14672",77989.84,69251.3,"nonmito",""
"ADAM15","Q13444;Q13444-10;Q13444-11;Q13444-12;Q13444-13;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9",45504.42,49684.2666666667,"nonmito",""
"ADAM17","P78536",35790.02,33247.3,"nonmito",""
"ADAM9","Q13443",54840.68,62651.8333333333,"nonmito",""
"ADAMTS1","Q9UHI8",24303.3,64235.7666666667,"nonmito",""
"ADAMTSL1","Q8N6G6",35597.84,57529.4,"nonmito",""
"ADAR","P55265;P55265-4",68278,51251.9666666667,"nonmito",""
"ADCY9","O60503",56623.8,38506.6,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",137646,159683.666666667,"nonmito",""
"ADD3","Q9UEY8-2",131860.8,175658.666666667,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",73244.84,80276.8333333333,"nonmito",""
"ADH5","P11766",264698.8,268635.666666667,"nonmito",""
"ADI1","Q9BV57",85931.72,99655.2,"nonmito",""
"ADK","P55263",92236.82,88567.4,"nonmito",""
"ADNP","Q9H2P0",17665.8,22358.85,"nonmito",""
"ADO","Q96SZ5",81249.4,63458.2666666667,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",60612.24,83187.9333333333,"nonmito",""
"ADPRS","Q9NX46",64256.06,77894.9333333333,"nonmito",""
"ADRM1","Q16186",125128.8,184043.666666667,"nonmito",""
"ADSL","P30566",98349.02,91445.0333333333,"nonmito",""
"ADSS2","P30520",174427.6,130126.333333333,"nonmito",""
"AEBP1","Q8IUX7",49337.88,62179.6333333333,"nonmito",""
"AFAP1","Q8N556;Q8N556-2",87638.92,96753.4333333333,"nonmito",""
"AFDN","P55196-1;P55196-2;P55196-3",35097.82,25109.6333333333,"nonmito",""
"AFG3L2","Q9Y4W6",54244.72,56011.3333333333,"mito",""
"AGA","P20933",66893.66,139647,"nonmito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",29340.68,51096.2,"nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",87942.1,81596.7,"nonmito",""
"AGFG2","O95081",37285.78,21886,"nonmito",""
"AGK","Q53H12",82879.56,83693.1,"mito",""
"AGL","P35573",71519.04,71447.9,"nonmito",""
"AGO1","Q9UL18",35729.18,26245.2,"nonmito",""
"AGO2","Q9UKV8",50958.64,47401.9666666667,"nonmito",""
"AGO3","Q9H9G7",77340.22,50689.9666666667,"nonmito",""
"AGPAT1","Q99943",151185.6,172680,"nonmito",""
"AGPAT2","O15120",206565.3,68432.5666666667,"nonmito",""
"AGPAT3","Q9NRZ7",64065.06,67626.1,"nonmito",""
"AGPAT4","Q9NRZ5",25943.48,28935.9666666667,"mito",""
"AGPAT5","Q9NUQ2",61028.2,23353.6,"mito",""
"AGPS","O00116",108345.08,117089.666666667,"nonmito",""
"AGTRAP","Q6RW13",63736.76,116997.666666667,"nonmito",""
"AHCTF1","Q8WYP5;Q8WYP5-2;Q8WYP5-3",36400.66,13548.6333333333,"nonmito",""
"AHCY","P23526",269013.4,301193.333333333,"nonmito",""
"AHCYL1","O43865",104109.12,104476.533333333,"mito",""
"AHCYL2","Q96HN2;Q96HN2-2;Q96HN2-3;Q96HN2-4",55605.52,72003.0333333333,"nonmito",""
"AHNAK","Q09666",338947.8,274558.333333333,"nonmito",""
"AHNAK2","Q8IVF2-3",110719.62,200784.666666667,"nonmito",""
"AHR","P35869",20139.34,40271.4333333333,"nonmito",""
"AHSA1","O95433",164423.8,166580,"nonmito",""
"AHSG","P02765",35079.34,141063,"nonmito",""
"AIDA","Q96BJ3",109220.5,117314.666666667,"nonmito",""
"AIFM1","O95831;O95831-3",114458.6,151732,"mito",""
"AIFM2","Q9BRQ8",62283,31811.6666666667,"mito",""
"AIMP1","Q12904",115237.8,122205.666666667,"nonmito",""
"AIMP2","Q13155",159335.8,191005.666666667,"nonmito",""
"AIP","O00170",81025.7,83035.6666666667,"nonmito",""
