"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"KIF1C","O43896",93096.3,94148.5,"O43896","nonmito",""
"KIF20A","O95235;O95235-2",94054.2333333333,79676.5,"O95235","nonmito",""
"KIF21A","Q7Z4S6;Q7Z4S6-2;Q7Z4S6-3;Q7Z4S6-4;Q7Z4S6-5;Q7Z4S6-6",126023.333333333,131253,"Q7Z4S6","nonmito",""
"KIF22","Q14807",163146.666666667,136173.666666667,"Q14807","nonmito",""
"KIF23","Q02241",117897.666666667,106608.333333333,"Q02241","nonmito",""
"KIF2A","O00139-2",289086.666666667,278518,"O00139","nonmito",""
"KIF2C","Q99661",138658,98169.3333333333,"Q99661","nonmito",""
"KIF3A","Q9Y496",106476.666666667,111002.333333333,"Q9Y496","nonmito",""
"KIF3B","O15066",82109.9333333333,73230.5666666667,"O15066","nonmito",""
"KIF4A","O95239",119043.333333333,123105.666666667,"O95239","nonmito",""
"KIF5B","P33176",281841.333333333,267352.666666667,"P33176","nonmito",""
"KIF5C","O60282",332325,324838.666666667,"O60282","nonmito",""
"KIF7","Q2M1P5",86623.9666666667,88112.3666666667,"Q2M1P5","nonmito",""
"KIFAP3","Q92845;Q92845-2;Q92845-3",97063.7,102866.133333333,"Q92845","nonmito",""
"KIFBP","Q96EK5",387516.333333333,392457,"Q96EK5","nonmito",""
"KIFC1","Q9BW19",109794,93778.3666666667,"Q9BW19","nonmito",""
"KIN","O60870",254649,249536,"O60870","nonmito",""
"KLC1","Q07866-3",202009.333333333,196838,"Q07866","nonmito",""
"KLC2","Q9H0B6",145496.333333333,150932.666666667,"Q9H0B6","nonmito",""
"KLC4","Q9NSK0;Q9NSK0-3",162926,147020,"Q9NSK0","nonmito",""
"KLF12","Q9Y4X4",47519.6,73460.5333333333,"Q9Y4X4","nonmito",""
"KLHDC4","Q8TBB5;Q8TBB5-3",89927.2333333333,83395.1,"Q8TBB5","nonmito",""
"KLHL11","Q9NVR0",84194.3666666667,92089.7333333333,"Q9NVR0","nonmito",""
"KLHL13","Q9P2N7;Q9P2N7-2;Q9P2N7-3;Q9P2N7-4;Q9P2N7-5",405325,463058,"Q9P2N7","nonmito",""
"KLHL20","Q9Y2M5;Q9Y2M5-2",91770.4,158373.666666667,"Q9Y2M5","nonmito",""
"KLHL22","Q53GT1;Q53GT1-3",163472.666666667,148796,"Q53GT1","nonmito",""
"KLHL41","O60662;O60662-2",53927.85,70437.6,"O60662","nonmito",""
"KLHL42","Q9P2K6",392543.2,107089.533333333,"Q9P2K6","nonmito",""
"KMT2A","Q03164;Q03164-2;Q03164-3",55592.7,52569.9666666667,"Q03164","nonmito",""
"KMT2C","Q8NEZ4;Q8NEZ4-3",65022.85,77289.1666666667,"Q8NEZ4","nonmito",""
"KMT2D","O14686;O14686-3",98439.9,71361.3666666667,"O14686","nonmito",""
"KNL1","Q8NG31;Q8NG31-2",120833.5,91853.9666666667,"Q8NG31","nonmito",""
"KNOP1","Q1ED39",92114.8666666667,96002.4333333333,"Q1ED39","nonmito",""
"KNSTRN","Q9Y448",180076,158840,"Q9Y448","nonmito",""
"KNTC1","P50748",134889.666666667,125096.666666667,"P50748","nonmito",""
"KPNA1","P52294",371539.333333333,432427,"P52294","nonmito",""
"KPNA2","P52292",736727.333333333,663450.666666667,"P52292","nonmito",""
"KPNA3","O00505",355022,362809.333333333,"O00505","nonmito",""
"KPNA4","O00629",173624,187087.666666667,"O00629","nonmito",""
"KPNA5","O15131",83877.2,116405.333333333,"O15131","nonmito",""
"KPNA6","O60684",273482.333333333,288761.333333333,"O60684","nonmito",""
"KPNB1","Q14974",557630,552044,"Q14974","nonmito",""
"KPRP","Q5T749",179842.333333333,155044.333333333,"Q5T749","nonmito",""
"KPTN","Q9Y664",94963.9666666667,71452.6333333333,"Q9Y664","nonmito",""
"KRI1","Q8N9T8",267673,271115,"Q8N9T8","nonmito",""
