"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"ITM2B","Q9Y287",50247.72,21098.4333333333,"nonmito",""
"ITM2C","Q9NQX7;Q9NQX7-2;Q9NQX7-3",73434.15,70504.9,"nonmito",""
"ITPA","Q9BY32",101331.6,115959.666666667,"nonmito",""
"ITPR3","Q14573",61054.44,44070.1333333333,"nonmito",""
"ITPRIP","Q8IWB1",41153.08,42206.9666666667,"nonmito",""
"ITSN1","Q15811;Q15811-10;Q15811-2;Q15811-7;Q15811-8;Q15811-9",88432.4,89647.8,"nonmito",""
"ITSN2","Q9NZM3;Q9NZM3-2;Q9NZM3-3;Q9NZM3-4",43799.96,43030.5333333333,"nonmito",""
"IVD","P26440",56319.04,57823.6333333333,"mito",""
"IWS1","Q96ST2;Q96ST2-2;Q96ST2-3",55239.28,55997.8,"nonmito",""
"JAK1","P23458",52447.56,45224.7333333333,"nonmito",""
"JAM3","Q9BX67",35407.66,42378.8,"nonmito",""
"JCAD","Q9P266",45157.76,32811.6666666667,"nonmito",""
"JMJD6","Q6NYC1;Q6NYC1-2;Q6NYC1-3",92787.38,91957.3666666667,"nonmito",""
"JPT1","Q9UK76;Q9UK76-2;Q9UK76-3",28465.692,22449.0666666667,"nonmito",""
"JPT2","Q9H910;Q9H910-2;Q9H910-3",60585.36,48178.9,"nonmito",""
"JUP","P14923",74602.1,68979.1333333333,"nonmito",""
"KANK1","Q14678;Q14678-2",16677.89,9867.66333333333,"nonmito",""
"KANK2","Q63ZY3;Q63ZY3-3",100480.2,86381.3,"nonmito",""
"KARS1","Q15046",148539.6,162081,"mito",""
"KATNB1","Q9BVA0",19891.3,26031.6333333333,"nonmito",""
"KCMF1","Q9P0J7",62865.18,45279,"nonmito",""
"KCNK2","O95069;O95069-2;O95069-3",34249.1,37521.6333333333,"nonmito",""
"KCNMA1","Q12791-2;Q12791-5",82604,42612.0333333333,"nonmito",""
"KCTD10","Q9H3F6",49521.28,45385.9666666667,"nonmito",""
"KCTD12","Q96CX2",344361.8,450007,"nonmito",""
"KCTD3","Q9Y597;Q9Y597-2",35097.58,40606.4,"nonmito",""
"KCTD5","Q9NXV2",47556.6,18463.1333333333,"nonmito",""
