"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"BCAS3","Q9H6U6;Q9H6U6-2",93849,93558.5666666667,"Q9H6U6","nonmito",""
"BCAT1","P54687;P54687-4;P54687-5",204412.666666667,243839,"P54687","nonmito",""
"BCAT2","O15382",196512.333333333,161968,"O15382","mito",""
"BCCIP","Q9P287",192190,154639,"Q9P287","nonmito",""
"BCCIP","Q9P287-2",298461.666666667,339037.333333333,"Q9P287","nonmito",""
"BCKDHA","P12694",127833.333333333,135461.666666667,"P12694","mito",""
"BCKDHB","P21953",314558.333333333,372642.333333333,"P21953","mito",""
"BCKDK","O14874;O14874-2;O14874-3",64591.9333333333,58174.8666666667,"O14874","mito",""
"BCL10","O95999",94723.2666666667,131850.333333333,"O95999","nonmito",""
"BCL2L1","Q07817;Q07817-2;Q07817-3",166651.666666667,147694,"Q07817","mito",""
"BCL2L13","Q9BXK5",117876.666666667,127059.333333333,"Q9BXK5","mito",""
"BCL9","O00512",41910.8333333333,54103.6666666667,"O00512","nonmito",""
"BCLAF1","Q9NYF8;Q9NYF8-2",223924.666666667,278043.333333333,"Q9NYF8","nonmito",""
"BCOR","Q6W2J9;Q6W2J9-2;Q6W2J9-4",73962.4,108117.333333333,"Q6W2J9","nonmito",""
"BCR","P11274",129441,143428.666666667,"P11274","nonmito",""
"BCS1L","Q9Y276",166815,179374.333333333,"Q9Y276","mito",""
"BDH2","Q9BUT1",106672.333333333,169158,"Q9BUT1","nonmito",""
"BECN1","Q14457",84132.6333333333,57109.4,"Q14457","nonmito",""
"BEND3","Q5T5X7",79328.6666666667,94252.8,"Q5T5X7","nonmito",""
"BET1","O15155",168650,105683.4,"O15155","nonmito",""
"BICD1","Q96G01;Q96G01-3;Q96G01-4",156884,161650.666666667,"Q96G01","nonmito",""
"BICD2","Q8TD16;Q8TD16-2",88275.9333333333,101351.2,"Q8TD16","nonmito",""
"BICRA","Q9NZM4;Q9NZM4-2",67864.9333333333,72075.1666666667,"Q9NZM4","nonmito",""
"BID","P55957;P55957-2",197667.333333333,192200.333333333,"P55957","mito",""
"BIN1","O00499;O00499-11;O00499-2;O00499-6",170066.666666667,82412.6333333333,"O00499","nonmito",""
"BIRC2","Q13490",85067.6666666667,92288.4333333333,"Q13490","nonmito",""
"BIRC5","O15392;O15392-4;O15392-5",77007.7333333333,97289.5,"O15392","nonmito",""
"BIRC6","Q9NR09",70701.4,116160.333333333,"Q9NR09","nonmito",""
"BLM","P54132",62558.3,65258.8333333333,"P54132","nonmito",""
"BLMH","Q13867",297885.333333333,222870.666666667,"Q13867","nonmito",""
"BLOC1S2","Q6QNY1",182687,167616,"Q6QNY1","nonmito",""
"BLOC1S3","Q6QNY0",219572,176770,"Q6QNY0","nonmito",""
