"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"AK1","P00568",410002.333333333,376407.333333333,"P00568","nonmito",""
"AK2","P54819;P54819-2",891655.666666667,794921.666666667,"P54819","mito",""
"AK3","Q9UIJ7",169464.333333333,152022,"Q9UIJ7","mito",""
"AK4","P27144",215003.333333333,187197.333333333,"P27144","mito",""
"AK6","Q9Y3D8",204892.333333333,222603,"Q9Y3D8","nonmito",""
"AKAP1","Q92667",73997.2,76721.1,"Q92667","mito",""
"AKAP11","Q9UKA4",48849.7333333333,44033.1666666667,"Q9UKA4","nonmito",""
"AKAP12","Q02952;Q02952-2;Q02952-3",94967.4333333333,96832.9,"Q02952","nonmito",""
"AKAP13","Q12802;Q12802-2;Q12802-4",70380.0333333333,78517.8666666667,"Q12802","nonmito",""
"AKAP17A","Q02040",69621.4333333333,67916.0333333333,"Q02040","nonmito",""
"AKAP2","Q9Y2D5-4;Q9Y2D5-6",70598.8,67367.8666666667,"0","nonmito",""
"AKAP8","O43823",88022.6666666667,86139.5333333333,"O43823","nonmito",""
"AKAP8L","Q9ULX6",219521.333333333,224161,"Q9ULX6","nonmito",""
"AKAP9","Q99996;Q99996-3;Q99996-6",141013.333333333,142772.333333333,"Q99996","nonmito",""
"AKR1A1","P14550",231400,207639.333333333,"P14550","nonmito",""
"AKR1B1","P15121",457404,419122.333333333,"P15121","nonmito",""
"AKR7A2","O43488",484587.333333333,425149.333333333,"O43488","mito",""
"AKT1","P31749;P31749-2",80103.6,77946.3333333333,"P31749","nonmito",""
"AKT1S1","Q96B36",194762.666666667,200193.666666667,"Q96B36","nonmito",""
"AKT2","P31751",132188.333333333,141222,"P31751","nonmito",""
"AKT3","Q9Y243;Q9Y243-2",102441.766666667,107820.666666667,"Q9Y243","nonmito",""
"AKTIP","Q9H8T0;Q9H8T0-2",133264.333333333,123737.333333333,"Q9H8T0","nonmito",""
"ALAD","P13716;P13716-2",116608.666666667,112856.666666667,"P13716","nonmito",""
"ALAS1","P13196",40900.7,39789.1333333333,"P13196","mito",""
"ALCAM","Q13740;Q13740-2",97615.4666666667,86719.1333333333,"Q13740","nonmito",""
"ALDH16A1","Q8IZ83",223547.666666667,194300.666666667,"Q8IZ83","nonmito",""
"ALDH18A1","P54886;P54886-2",470004.333333333,417969,"P54886","mito",""
"ALDH1A2","O94788",214203.333333333,177988.333333333,"O94788","nonmito",""
"ALDH1B1","P30837",244221,221215.333333333,"P30837","mito",""
"ALDH1L2","Q3SY69",145347.666666667,102226.366666667,"Q3SY69","mito",""
"ALDH2","P05091",418773.666666667,372261.333333333,"P05091","mito",""
"ALDH3A2","P51648;P51648-2",196534,192237.333333333,"P51648","mito",""
"ALDH4A1","P30038",71676.6666666667,55146.2333333333,"P30038","mito",""
"ALDH5A1","P51649;P51649-2",121385.333333333,104208.333333333,"P51649","mito",""
"ALDH6A1","Q02252;Q02252-2",281872.333333333,226635.333333333,"Q02252","mito",""
"ALDH7A1","P49419-2",340452.333333333,279343,"P49419","mito",""
"ALDH9A1","P49189",343797.666666667,323804,"P49189","mito",""
"ALDOA","P04075",1359943.33333333,1361526.66666667,"P04075","nonmito",""
"ALDOC","P09972",220631.333333333,214870,"P09972","nonmito",""
"ALG1","Q9BT22",94231.8,95345.6,"Q9BT22","nonmito",""
"ALG10","Q5BKT4",432616,361057.333333333,"Q5BKT4","nonmito",""
"ALG11","Q2TAA5",98559.4,88303.6333333333,"Q2TAA5","nonmito",""
"ALG13","Q9NP73",90762.0666666667,88271.8666666667,"Q9NP73","nonmito",""
"ALG14","Q96F25",203048.666666667,180984.5,"Q96F25","nonmito",""
"ALG2","Q9H553",123872,125462,"Q9H553","nonmito",""
"ALG3","Q92685;Q92685-2",67716.8,65668.4666666667,"Q92685","nonmito",""
"ALG5","Q9Y673",284216.333333333,225040.666666667,"Q9Y673","nonmito",""
"ALG6","Q9Y672",218486,229797,"Q9Y672","nonmito",""
"ALG8","Q9BVK2;Q9BVK2-2",117700.666666667,111318,"Q9BVK2","nonmito",""
"ALG9","Q9H6U8;Q9H6U8-3",121004.666666667,114392.666666667,"Q9H6U8","nonmito",""
"ALKBH1","Q13686",126404,140423,"Q13686","mito",""
"ALKBH2","Q6NS38",118769.333333333,128311.333333333,"Q6NS38","nonmito",""
"ALKBH3","Q96Q83",126368.666666667,113862.333333333,"Q96Q83","nonmito",""
"ALKBH4","Q9NXW9",140806,124196.333333333,"Q9NXW9","nonmito",""
"ALKBH5","Q6P6C2",179047,177751,"Q6P6C2","nonmito",""
"ALKBH6","Q3KRA9;Q3KRA9-2",114339.666666667,115509.333333333,"Q3KRA9","nonmito",""
"ALMS1","Q8TCU4",98095.4666666667,89323.0666666667,"Q8TCU4","nonmito",""
"ALYREF","Q86V81",899302,886063,"Q86V81","nonmito",""
"AMBRA1","Q9C0C7;Q9C0C7-3;Q9C0C7-4;Q9C0C7-5",69915.2333333333,67587.7666666667,"Q9C0C7","nonmito",""
"AMFR","Q9UKV5",105954.333333333,108266,"Q9UKV5","nonmito",""
"AMMECR1","Q9Y4X0",128630,126817,"Q9Y4X0","nonmito",""
"AMOT","Q4VCS5",362611.666666667,438092.333333333,"Q4VCS5","nonmito",""
"AMOTL1","Q8IY63;Q8IY63-2",98228.2333333333,85977.1666666667,"Q8IY63","nonmito",""
"AMPD2","Q01433;Q01433-2",306723,255515,"Q01433","nonmito",""
"AMPH","P49418;P49418-2",109147.7,118266,"P49418","nonmito",""
"AMZ2","Q86W34",143064.333333333,138937.333333333,"Q86W34","nonmito",""
"ANAPC1","Q9H1A4",107610,109527.666666667,"Q9H1A4","nonmito",""
"ANAPC16","Q96DE5",113476,127680,"Q96DE5","nonmito",""
"ANAPC2","Q9UJX6;Q9UJX6-2",136386,137262.666666667,"Q9UJX6","nonmito",""
"ANAPC4","Q9UJX5;Q9UJX5-3",134431.333333333,131223,"Q9UJX5","nonmito",""
"ANAPC5","Q9UJX4",96348.3666666667,92397.8666666667,"Q9UJX4","nonmito",""
"ANAPC7","Q9UJX3;Q9UJX3-2",185985.666666667,193654.333333333,"Q9UJX3","nonmito",""
